"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"A Gustavo Menéndez por el Frente de Todos",0.264,0.261,0.267,0.335,0.23,0.274,0.22,0.278,0.257,0.249,0.357,0.298,0.169,0.188,0.326,0.206
"A Raúl Othacehé por un partido vecinal",0.097,0.14,0.054,0.013,0.121,0.148,0.099,0.119,0.073,0.101,0.086,0.116,0.066,0.078,0.1,0.103
"A David Zencich por Juntos por el Cambio",0.218,0.207,0.229,0.284,0.178,0.17,0.289,0.219,0.223,0.205,0.174,0.184,0.366,0.253,0.196,0.196
"A Pablo Cocuzza por Juntos por el Cambio",0.088,0.059,0.117,0.087,0.069,0.095,0.134,0.069,0.115,0.07,0.109,0.058,0.091,0.061,0.066,0.173
"Al candidato de Javier Milei por La Libertad Avanza",0.174,0.204,0.144,0.188,0.216,0.096,0.152,0.156,0.207,0.138,0.142,0.214,0.133,0.239,0.162,0.105
"Al candidato del Frente de Izquierda",0.04,0.048,0.033,0,0.067,0.05,0.022,0.038,0.039,0.051,0.048,0.047,0.058,0.01,0.037,0.035
"En blanco",0.021,0.013,0.029,0.008,0.032,0.016,0.019,0.016,0.014,0.047,0.009,0.008,0.008,0.027,0.057,0.031
"No sabe",0.098,0.068,0.127,0.085,0.087,0.151,0.065,0.105,0.072,0.139,0.075,0.075,0.109,0.144,0.056,0.151
