"var","categoria","Mariel Fernández a intendente por Unión por la Patria","Damián Contreras a intendente por Unión por la Patria","Giselle Agosttineli a intendente por Juntos por el Cambio","Aníbal Assef a intendente por Juntos por el Cambio","Andrea Vera a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.114,0.14,0.484,0.455,0.071,0.1,0.026,0.104
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.103,0.146,0.062,0.165,0.068,0.052,0.342,0.096
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.085,0.105,0.081,0.182,0.619,0.267,0.013,0.256
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.017,0,0,0,0,0.233,0,0.021
"P15","Otros",0.043,0.021,0,0.014,0.023,0.068,0.168,0.054
"P15","No sabe",0.14,0.024,0.035,0.086,0.124,0,0.07,0.332
"P21","Totalmente seguro.",0.483,0.56,0.54,0.727,0.666,0.369,0.676,0.313
"P21","Bastante seguro",0.252,0.147,0.327,0.186,0.09,0.353,0.146,0.184
"P21","Algo seguro",0.125,0.154,0.102,0.022,0.119,0.098,0.035,0.052
"P21","Para nada seguro",0.14,0.139,0.031,0.065,0.125,0.18,0.143,0.451
"P22","Tiene Decidido que va a ir a votar.",0.859,0.88,0.952,0.938,0.955,0.443,0.789,0.84
"P22","Tiene dudas sobre si va a ir a  votar",0.055,0.096,0.038,0.054,0.005,0.409,0.118,0.123
"P22","Tiene Decidido que no va a ir a votar",0.086,0.024,0.01,0.008,0.04,0.148,0.093,0.037
"P23","Lo votaría",0.491,0.24,0.232,0.15,0.34,0.305,0.103,0.08
"P23","Puede que lo vote",0.173,0.092,0.176,0.046,0.029,0.205,0,0.154
"P23","Nunca lo votaría",0.264,0.608,0.567,0.804,0.571,0.49,0.779,0.588
"P23","No sabe",0.072,0.06,0.025,0,0.06,0,0.118,0.178
"P24","Lo votaría",0.196,0.427,0.198,0.06,0.095,0.276,0,0
"P24","Puede que lo vote",0.196,0.384,0,0.016,0.129,0.408,0.08,0.056
"P24","Nunca lo votaría",0.534,0.165,0.771,0.917,0.746,0.316,0.801,0.712
"P24","No sabe",0.074,0.024,0.031,0.007,0.03,0,0.119,0.232
"P25","Lo votaría",0.393,0.041,0.198,0.06,0.054,0,0.023,0.018
"P25","Puede que lo vote",0.176,0.195,0,0.08,0.026,0.201,0.015,0.047
"P25","Nunca lo votaría",0.324,0.744,0.792,0.856,0.776,0.799,0.842,0.594
"P25","No sabe",0.107,0.02,0.01,0.004,0.144,0,0.12,0.341
"P26","Lo votaría",0.131,0.151,0.2,0.056,0.14,0.199,0,0.005
"P26","Puede que lo vote",0.145,0.332,0,0.022,0.037,0,0.174,0.014
"P26","Nunca lo votaría",0.648,0.349,0.8,0.902,0.658,0.801,0.703,0.736
"P26","No sabe",0.076,0.168,0,0.02,0.165,0,0.123,0.245
"P26","Lo votaría",0.131,0.151,0.2,0.056,0.14,0.199,0,0.005
"P26","Puede que lo vote",0.145,0.332,0,0.022,0.037,0,0.174,0.014
"P26","Nunca lo votaría",0.648,0.349,0.8,0.902,0.658,0.801,0.703,0.736
"P26","No sabe",0.076,0.168,0,0.02,0.165,0,0.123,0.245
"P27","Lo votaría",0.118,0.052,0.51,0.425,0.19,0.08,0.015,0.105
"P27","Puede que lo vote",0.079,0.081,0.129,0.225,0.284,0.134,0.324,0.141
"P27","Nunca lo votaría",0.737,0.847,0.244,0.342,0.326,0.731,0.535,0.594
"P27","No sabe",0.066,0.02,0.117,0.008,0.2,0.055,0.126,0.16
"P28","Lo votaría",0.102,0.053,0.36,0.254,0.151,0,0.017,0.132
"P28","Puede que lo vote",0.108,0.094,0.234,0.479,0.179,0.201,0.344,0.107
"P28","Nunca lo votaría",0.745,0.842,0.319,0.255,0.46,0.419,0.578,0.465
"P28","No sabe",0.045,0.011,0.087,0.012,0.21,0.38,0.061,0.296
"P29","Lo votaría",0.138,0.009,0.212,0.176,0.489,0.224,0.183,0.204
"P29","Puede que lo vote",0.075,0.138,0.222,0.17,0.102,0.056,0.044,0.089
"P29","Nunca lo votaría",0.727,0.853,0.494,0.56,0.348,0.524,0.71,0.506
"P29","No sabe",0.06,0,0.072,0.094,0.061,0.196,0.063,0.201
"P30","Si",0.446,0.412,0.216,0.366,0.711,0.136,0.164,0.463
"P30","No",0.554,0.588,0.784,0.634,0.289,0.864,0.836,0.537
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.332,0.426,0.19,0.065,0.074,0.182,0.293,0.098
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.166,0.138,0.148,0.033,0.021,0.098,0.088,0.039
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.114,0.14,0.484,0.455,0.071,0.1,0.026,0.104
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.103,0.146,0.062,0.165,0.068,0.052,0.342,0.096
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.085,0.105,0.081,0.182,0.619,0.267,0.013,0.256
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.017,0,0,0,0,0.233,0,0.021
