"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.49,0.26,0.065,0.13
"P05","Bastante",0.278,0.384,0.334,0.119
"P05","Poco",0.137,0.284,0.394,0.199
"P05","Nada",0.077,0.052,0.119,0.431
"P05","No sabe",0.018,0.02,0.088,0.121
"P06","Siempre",0.259,0.119,0.091,0.102
"P06","Casi siempre",0.331,0.281,0.222,0.185
"P06","Casi nunca",0.242,0.378,0.49,0.306
"P06","Nunca, pero esta es una excepción",0.168,0.222,0.197,0.407
"P08","Unión por la Patria",0.314,0.326,0.28,0.068
"P08","Juntos por el Cambio",0.309,0.297,0.18,0.091
"P08","De los Liberales libertarios",0.241,0.137,0.145,0.075
"P08","De la Izquierda",0.013,0.006,0.044,0.01
"P08","Hacemos por nuestro país",0.021,0.049,0.044,0.021
"P08","Otro",0.051,0.014,0.061,0.123
"P08","En blanco",0.027,0.052,0.017,0.135
"P08","No sabe",0.024,0.119,0.229,0.477
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.255,0.333,0.291,0.124
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.08,0.036,0.089,0.073
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.056,0.151,0.088,0.022
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.032,0.002,0.03,0.019
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.182,0.163,0.167,0.081
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.114,0.087,0.094,0.055
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.23,0.158,0.154,0.081
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.023,0.012,0.066
"P11","Otros",0.034,0.009,0.008,0.058
"P11","No sabe",0.014,0.038,0.067,0.421
"P14","Sí",0.464,0.598,0.458,0.573
"P14","No",0.536,0.402,0.542,0.427
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.288,0.189,0.108,0.236
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.093,0.21,0.19,0.013
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.211,0.175,0.087,0.1
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.12,0.143,0.097,0.091
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.235,0.131,0.095,0.148
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.009,0.03,0.014,0.009
"P15","Otros",0.027,0.011,0.039,0.069
"P15","No sabe",0.017,0.111,0.37,0.334
"P18","Mariel Fernández a intendente por Unión por la Patria",0.346,0.459,0.477,0.342
"P18","Damián Contreras a intendente por Unión por la Patria",0.121,0.08,0.177,0.102
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.09,0.139,0.09,0.018
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.17,0.11,0.028,0.052
"P18","Andrea Vera a intendente por la Libertad Avanza",0.14,0.048,0.134,0.09
"P18","Alguno de los candidatos a intendente de la Izquierda",0.014,0.033,0.019,0.022
"P18","Otros",0.05,0.028,0.014,0.036
"P18","No sabe",0.069,0.103,0.061,0.338
"P22","Tiene Decidido que va a ir a votar.",0.948,0.889,0.664,0.592
"P22","Tiene dudas sobre si va a ir a  votar",0.029,0.11,0.172,0.183
"P22","Tiene Decidido que no va a ir a votar",0.023,0.001,0.164,0.225
"P23","Lo votaría",0.375,0.375,0.264,0.162
"P23","Puede que lo vote",0.042,0.156,0.236,0.152
"P23","Nunca lo votaría",0.547,0.398,0.28,0.333
"P23","No sabe",0.036,0.071,0.22,0.353
"P24","Lo votaría",0.159,0.143,0.163,0.077
"P24","Puede que lo vote",0.094,0.161,0.149,0.121
"P24","Nunca lo votaría",0.709,0.591,0.422,0.45
"P24","No sabe",0.038,0.105,0.266,0.352
"P25","Lo votaría",0.185,0.226,0.124,0.077
"P25","Puede que lo vote",0.071,0.137,0.192,0.12
"P25","Nunca lo votaría",0.683,0.548,0.395,0.403
"P25","No sabe",0.061,0.089,0.289,0.4
"P26","Lo votaría",0.127,0.047,0.104,0.064
"P26","Puede que lo vote",0.064,0.129,0.076,0.089
"P26","Nunca lo votaría",0.751,0.74,0.575,0.488
"P26","No sabe",0.058,0.084,0.245,0.359
"P26","Lo votaría",0.127,0.047,0.104,0.064
"P26","Puede que lo vote",0.064,0.129,0.076,0.089
"P26","Nunca lo votaría",0.751,0.74,0.575,0.488
"P26","No sabe",0.058,0.084,0.245,0.359
"P27","Lo votaría",0.23,0.151,0.116,0.04
"P27","Puede que lo vote",0.127,0.139,0.113,0.151
"P27","Nunca lo votaría",0.604,0.592,0.478,0.508
"P27","No sabe",0.039,0.118,0.293,0.301
"P28","Lo votaría",0.163,0.084,0.07,0.058
"P28","Puede que lo vote",0.178,0.208,0.062,0.131
"P28","Nunca lo votaría",0.628,0.6,0.613,0.484
"P28","No sabe",0.031,0.108,0.255,0.327
"P29","Lo votaría",0.252,0.117,0.147,0.071
"P29","Puede que lo vote",0.084,0.149,0.121,0.129
"P29","Nunca lo votaría",0.627,0.666,0.47,0.546
"P29","No sabe",0.037,0.068,0.262,0.254
"P30","Si",0.428,0.322,0.471,0.306
"P30","No",0.572,0.678,0.529,0.694
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.314,0.288,0.254,0.178
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.091,0.169,0.158,0.019
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.189,0.171,0.1,0.098
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.106,0.119,0.112,0.076
