"var","categoria","Sí","No"
"P05","Mucho",0.332,0.346
"P05","Bastante",0.313,0.248
"P05","Poco",0.165,0.228
"P05","Nada",0.139,0.134
"P05","No sabe",0.051,0.044
"P06","Siempre",0.192,0.2
"P06","Casi siempre",0.306,0.253
"P06","Casi nunca",0.297,0.296
"P06","Nunca, pero esta es una excepción",0.205,0.251
"P08","Unión por la Patria",0.256,0.281
"P08","Juntos por el Cambio",0.256,0.251
"P08","De los Liberales libertarios",0.178,0.178
"P08","De la Izquierda",0.035,0.007
"P08","Hacemos por nuestro país",0.019,0.037
"P08","Otro",0.052,0.057
"P08","En blanco",0.079,0.052
"P08","No sabe",0.125,0.137
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.222,0.269
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.079,0.057
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.088,0.052
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.017,0.033
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.163,0.142
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.094,0.09
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.141,0.222
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.014
"P11","Otros",0.051,0.016
"P11","No sabe",0.114,0.105
"P21","Totalmente seguro.",0.528,0.616
"P21","Bastante seguro",0.212,0.144
"P21","Algo seguro",0.102,0.121
"P21","Para nada seguro",0.158,0.119
"P22","Tiene Decidido que va a ir a votar.",0.876,0.842
"P22","Tiene dudas sobre si va a ir a  votar",0.074,0.084
"P22","Tiene Decidido que no va a ir a votar",0.05,0.074
"P23","Lo votaría",0.304,0.368
"P23","Puede que lo vote",0.124,0.07
"P23","Nunca lo votaría",0.498,0.431
"P23","No sabe",0.074,0.131
"P24","Lo votaría",0.158,0.135
"P24","Puede que lo vote",0.15,0.08
"P24","Nunca lo votaría",0.619,0.631
"P24","No sabe",0.073,0.154
"P25","Lo votaría",0.188,0.158
"P25","Puede que lo vote",0.111,0.091
"P25","Nunca lo votaría",0.599,0.591
"P25","No sabe",0.102,0.16
"P26","Lo votaría",0.11,0.095
"P26","Puede que lo vote",0.111,0.046
"P26","Nunca lo votaría",0.68,0.72
"P26","No sabe",0.099,0.139
"P26","Lo votaría",0.11,0.095
"P26","Puede que lo vote",0.111,0.046
"P26","Nunca lo votaría",0.68,0.72
"P26","No sabe",0.099,0.139
"P27","Lo votaría",0.189,0.174
"P27","Puede que lo vote",0.143,0.117
"P27","Nunca lo votaría",0.581,0.575
"P27","No sabe",0.087,0.134
"P28","Lo votaría",0.143,0.111
"P28","Puede que lo vote",0.186,0.145
"P28","Nunca lo votaría",0.575,0.639
"P28","No sabe",0.096,0.105
"P29","Lo votaría",0.176,0.221
"P29","Puede que lo vote",0.114,0.093
"P29","Nunca lo votaría",0.631,0.586
"P29","No sabe",0.079,0.1
"P30","Si",0.423,0.37
"P30","No",0.577,0.63
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.247,0.325
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.105,0.085
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.183,0.141
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.111,0.09
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.171,0.223
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.013,0.014
"PRESIDENTE","Otros",0.048,0.017
"PRESIDENTE","No sabe",0.122,0.105
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.387,0.32
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.118,0.089
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.085,0.14
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.129,0.09
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.098,0.224
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.02,0.014
"INTENDENTE","Otros",0.037,0.017
"INTENDENTE","No sabe",0.126,0.106
