"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.249,0.233,0.262,0.238,0.281,0.214,0.221,0.328,0.221,0.16,0.462,0.043,0.189,0.043
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.103,0.099,0.107,0.093,0.097,0.112,0.131,0.081,0.107,0.135,0.175,0.061,0.029,0.269
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.18,0.19,0.171,0.14,0.125,0.276,0.297,0.184,0.149,0.253,0.078,0.418,0.088,0
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.112,0.121,0.105,0.129,0.105,0.1,0.123,0.029,0.18,0.104,0.065,0.207,0.315,0.264
"Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.174,0.212,0.142,0.234,0.194,0.095,0.11,0.169,0.176,0.179,0.061,0.206,0.3,0.312
"Alguno de los candidatos a presidente y gobernador de la Izquierda",0.012,0.005,0.019,0.01,0.007,0.032,0,0.014,0.003,0.036,0.018,0.013,0,0.043
"Otros",0.045,0.053,0.037,0.011,0.077,0.048,0,0.034,0.047,0.061,0.038,0.007,0,0.069
"No sabe",0.125,0.087,0.157,0.145,0.114,0.123,0.118,0.161,0.117,0.072,0.103,0.045,0.079,0
