"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sí",0.336,0.33,0.341,0.293,0.353,0.341,0.371,0.302,0.343,0.39,0.243,0.426,0.384,0.625
"No",0.664,0.67,0.659,0.707,0.647,0.659,0.629,0.698,0.657,0.61,0.757,0.574,0.616,0.375
