"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Mariel Fernández a intendente por Unión por la Patria",0.354,0.34,0.367,0.268,0.428,0.332,0.347,0.331,0.352,0.413,0.695,0.134,0.254,0.565
"Damián Contreras a intendente por Unión por la Patria",0.104,0.099,0.108,0.119,0.087,0.115,0.103,0.093,0.114,0.099,0.125,0.055,0.115,0.171
"Giselle Agosttineli a intendente por Juntos por el Cambio",0.112,0.113,0.112,0.084,0.092,0.169,0.154,0.148,0.081,0.116,0.042,0.272,0.319,0.138
"Aníbal Assef a intendente por Juntos por el Cambio",0.11,0.111,0.109,0.08,0.107,0.123,0.175,0.099,0.105,0.151,0.042,0.289,0.203,0
"Andrea Vera a intendente por la Libertad Avanza",0.16,0.196,0.127,0.301,0.113,0.087,0.107,0.136,0.201,0.101,0.026,0.187,0.109,0.031
"Alguno de los candidatos a intendente de la Izquierda",0.017,0.008,0.025,0.02,0.015,0.011,0.028,0.017,0.017,0.018,0.012,0.013,0,0.048
"Otros",0.027,0.036,0.018,0.029,0.029,0.025,0.014,0.02,0.031,0.029,0.027,0.003,0,0.03
"No sabe",0.116,0.097,0.134,0.099,0.129,0.138,0.072,0.156,0.099,0.073,0.031,0.047,0,0.017
