"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P05","Mucho",0.421,0.395,0.297,0.443,0.34,0.213,0.416,0.082
"P05","Bastante",0.273,0.33,0.309,0.228,0.32,0.14,0.25,0.2
"P05","Poco",0.222,0.203,0.21,0.249,0.151,0.134,0.079,0.17
"P05","Nada",0.051,0.024,0.107,0.073,0.167,0.442,0.255,0.41
"P05","No sabe",0.033,0.048,0.077,0.007,0.022,0.071,0,0.138
"P06","Siempre",0.215,0.244,0.272,0.145,0.156,0.037,0.293,0.112
"P06","Casi siempre",0.335,0.309,0.215,0.279,0.322,0.176,0.301,0.172
"P06","Casi nunca",0.337,0.256,0.32,0.366,0.234,0.55,0.211,0.248
"P06","Nunca, pero esta es una excepción",0.113,0.191,0.193,0.21,0.288,0.237,0.195,0.468
"P08","Unión por la Patria",0.611,0.558,0.08,0.116,0.06,0.134,0.146,0.048
"P08","Juntos por el Cambio",0.153,0.126,0.719,0.626,0.067,0.097,0.073,0.064
"P08","De los Liberales libertarios",0.047,0.092,0.047,0.069,0.698,0,0.021,0.067
"P08","De la Izquierda",0.011,0.029,0.014,0.013,0.019,0.116,0.048,0
"P08","Hacemos por nuestro país",0.01,0,0.03,0.044,0.054,0.14,0,0.012
"P08","Otro",0.034,0.114,0.019,0.013,0.042,0,0.603,0.044
"P08","En blanco",0.023,0.049,0.033,0.02,0.012,0.071,0.066,0.227
"P08","No sabe",0.111,0.032,0.058,0.099,0.048,0.442,0.043,0.538
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.673,0.201,0.037,0.059,0.066,0.049,0,0.123
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.18,0.022,0.019,0.054,0.041,0,0.024,0.002
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.037,0.472,0.017,0.019,0.007,0.237,0.13,0.016
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.009,0.209,0.003,0,0,0,0,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.036,0.011,0.775,0.025,0.033,0.037,0.009,0.092
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.004,0.01,0.019,0.786,0.016,0.097,0.045,0.026
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.032,0.061,0.057,0.015,0.817,0.037,0,0.022
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.004,0,0.005,0.016,0.013,0.543,0.04,0.011
"P11","Otros",0.011,0.014,0.046,0,0.004,0,0.702,0.02
"P11","No sabe",0.014,0,0.022,0.026,0.003,0,0.05,0.688
"P14","Sí",0.453,0.572,0.585,0.573,0.456,0.515,0.758,0.558
"P14","No",0.547,0.428,0.415,0.427,0.544,0.485,0.242,0.442
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",1,0,0,0,0,0,0,0
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0,1,0,0,0,0,0,0
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0,0,1,0,0,0,0,0
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0,0,0,1,0,0,0,0
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0,0,0,0,1,0,0,0
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0,0,0,0,1,0,0
"P15","Otros",0,0,0,0,0,0,1,0
"P15","No sabe",0,0,0,0,0,0,0,1
"P18","Mariel Fernández a intendente por Unión por la Patria",0.534,0.582,0.242,0.342,0.182,0.475,0.442,0.423
"P18","Damián Contreras a intendente por Unión por la Patria",0.221,0.156,0.096,0.156,0.073,0,0.069,0.023
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.068,0.115,0.227,0.045,0.039,0,0,0.023
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.034,0.036,0.308,0.175,0.126,0,0.047,0.084
"P18","Andrea Vera a intendente por la Libertad Avanza",0.034,0.02,0.042,0.063,0.373,0,0.065,0.105
"P18","Alguno de los candidatos a intendente de la Izquierda",0.014,0.017,0.01,0.008,0.028,0.327,0.034,0
"P18","Otros",0.045,0.03,0.005,0.109,0.003,0,0.166,0.021
"P18","No sabe",0.05,0.044,0.07,0.102,0.176,0.198,0.177,0.321
"P21","Totalmente seguro.",0.633,0.508,0.663,0.58,0.717,0.199,0.565,0.097
"P21","Bastante seguro",0.18,0.294,0.186,0.201,0.12,0.311,0.055,0.144
"P21","Algo seguro",0.1,0.172,0.068,0.119,0.092,0.062,0.081,0.194
"P21","Para nada seguro",0.087,0.026,0.083,0.1,0.071,0.428,0.299,0.565
"P22","Tiene Decidido que va a ir a votar.",0.907,0.925,0.89,0.862,0.897,0.865,0.732,0.572
"P22","Tiene dudas sobre si va a ir a  votar",0.058,0.066,0.069,0.045,0.052,0,0.226,0.227
"P22","Tiene Decidido que no va a ir a votar",0.035,0.009,0.041,0.093,0.051,0.135,0.042,0.201
"P23","Lo votaría",0.767,0.489,0.072,0.056,0.138,0.316,0.056,0.14
"P23","Puede que lo vote",0.088,0.243,0.041,0.11,0.07,0.102,0.209,0.08
"P23","Nunca lo votaría",0.1,0.225,0.823,0.736,0.726,0.528,0.62,0.294
"P23","No sabe",0.045,0.043,0.064,0.098,0.066,0.054,0.115,0.486
"P24","Lo votaría",0.319,0.275,0.05,0.031,0.044,0,0,0.055
"P24","Puede que lo vote",0.213,0.193,0.012,0.098,0.044,0.434,0.08,0.066
"P24","Nunca lo votaría",0.37,0.46,0.866,0.829,0.857,0.44,0.789,0.413
"P24","No sabe",0.098,0.072,0.072,0.042,0.055,0.126,0.131,0.466
"P25","Lo votaría",0.324,0.556,0.034,0.05,0.043,0,0.015,0.006
"P25","Puede que lo vote",0.174,0.139,0.019,0,0.041,0.361,0.091,0.216
"P25","Nunca lo votaría",0.341,0.297,0.875,0.896,0.821,0.376,0.746,0.351
