"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sí",0.549,0.527,0.569,0.448,0.603,0.573,0.565,0.522,0.537,0.646,0.606,0.543,0.556,0.729
"No",0.451,0.473,0.431,0.552,0.397,0.427,0.435,0.478,0.463,0.354,0.394,0.457,0.444,0.271
