"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Mariel Fernández a intendente por Unión por la Patria",0.383,0.386,0.381,0.339,0.456,0.354,0.277,0.41,0.361,0.387,0.652,0.195,0.376,0.501
"Damián Contreras a intendente por Unión por la Patria",0.124,0.123,0.125,0.195,0.098,0.095,0.095,0.09,0.15,0.124,0.155,0.063,0.047,0.251
"Giselle Agosttineli a intendente por Juntos por el Cambio",0.085,0.084,0.085,0.093,0.063,0.115,0.091,0.076,0.087,0.101,0.053,0.168,0.178,0.152
"Aníbal Assef a intendente por Juntos por el Cambio",0.123,0.131,0.115,0.062,0.112,0.161,0.242,0.097,0.131,0.155,0.041,0.344,0.399,0
"Andrea Vera a intendente por la Libertad Avanza",0.107,0.125,0.092,0.2,0.073,0.042,0.125,0.116,0.118,0.059,0.024,0.121,0,0
"Alguno de los candidatos a intendente de la Izquierda",0.019,0.015,0.022,0.011,0.02,0.017,0.036,0.005,0.026,0.029,0.021,0.024,0,0.048
"Otros",0.037,0.044,0.031,0.039,0.035,0.044,0.026,0.04,0.036,0.032,0.021,0.004,0,0.048
"No sabe",0.122,0.092,0.149,0.061,0.143,0.172,0.108,0.166,0.091,0.113,0.033,0.081,0,0
