"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Si",0.398,0.416,0.38,0.341,0.398,0.473,0.402,0.369,0.426,0.387,0.434,0.364,0.471,0.332
"No",0.602,0.584,0.62,0.659,0.602,0.527,0.598,0.631,0.574,0.613,0.566,0.636,0.529,0.668
