"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Mucho",0.307,0.377,0.241,0.231,0.359,0.311,0.381,0.283,0.289,0.443,0.449,0.322,0.237,0.456
"Bastante",0.248,0.244,0.251,0.216,0.258,0.297,0.233,0.168,0.316,0.286,0.288,0.32,0.068,0.297
"Poco",0.196,0.165,0.225,0.212,0.185,0.186,0.194,0.165,0.241,0.148,0.171,0.21,0.27,0.029
"Nada",0.171,0.152,0.19,0.216,0.153,0.146,0.127,0.234,0.131,0.099,0.063,0.128,0.193,0.126
"No sabe",0.078,0.062,0.093,0.125,0.045,0.06,0.065,0.15,0.023,0.024,0.029,0.02,0.232,0.092
