"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Unión por la Patria",0.252,0.264,0.241,0.142,0.306,0.272,0.312,0.265,0.206,0.355,0.531,0.095,0.222,0.104
"Juntos por el Cambio",0.248,0.266,0.23,0.165,0.216,0.364,0.368,0.251,0.234,0.279,0.152,0.572,0.526,0.204
"De los Liberales libertarios",0.173,0.226,0.124,0.283,0.157,0.091,0.099,0.142,0.211,0.14,0.082,0.229,0.101,0.244
"De la Izquierda",0.024,0.02,0.027,0.016,0.031,0.027,0.011,0.014,0.027,0.038,0.016,0.006,0,0.36
"Hacemos por nuestro país",0.026,0.031,0.022,0.042,0.021,0.017,0.017,0.022,0.031,0.021,0.013,0.022,0,0.009
"Otro",0.057,0.036,0.076,0.066,0.065,0.04,0.031,0.039,0.074,0.049,0.059,0.021,0,0.055
"En blanco",0.078,0.063,0.092,0.127,0.061,0.06,0.041,0.087,0.083,0.038,0.046,0.021,0,0.009
"No sabe",0.142,0.094,0.188,0.159,0.143,0.129,0.121,0.18,0.134,0.08,0.101,0.034,0.151,0.015
