"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.389,0.162,0.137
"P05","Bastante",0.303,0.23,0.058
"P05","Poco",0.199,0.279,0.155
"P05","Nada",0.086,0.27,0.436
"P05","No sabe",0.023,0.059,0.214
"P06","Siempre",0.207,0.221,0.026
"P06","Casi siempre",0.315,0.18,0.146
"P06","Casi nunca",0.292,0.31,0.416
"P06","Nunca, pero esta es una excepción",0.186,0.289,0.412
"P08","Unión por la Patria",0.289,0.179,0.261
"P08","Juntos por el Cambio",0.293,0.112,0.027
"P08","De los Liberales libertarios",0.205,0.084,0.099
"P08","De la Izquierda",0.014,0.026,0.016
"P08","Hacemos por nuestro país",0.023,0.119,0
"P08","Otro",0.049,0.139,0.05
"P08","En blanco",0.025,0.188,0.105
"P08","No sabe",0.102,0.153,0.442
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.278,0.125,0.157
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.069,0.102,0.107
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.071,0.102,0.015
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.029,0.01,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.171,0.158,0.089
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.105,0.039,0.124
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.196,0.09,0.165
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.009,0.035,0.022
"P11","Otros",0.029,0.048,0.018
"P11","No sabe",0.043,0.291,0.303
"P14","Sí",0.516,0.475,0.409
"P14","No",0.484,0.525,0.591
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.248,0.159,0.256
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.126,0.048,0.026
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.182,0.178,0.048
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.12,0.131,0.085
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.191,0.132,0.087
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.015,0,0.01
"P15","Otros",0.026,0.117,0.017
"P15","No sabe",0.092,0.235,0.471
"P18","Mariel Fernández a intendente por Unión por la Patria",0.371,0.296,0.62
"P18","Damián Contreras a intendente por Unión por la Patria",0.116,0.159,0.051
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.096,0.049,0.017
