"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.408,0.264,0.435,0.544,0.328,0.472,0.309,0.246,0.323,0.068
"P05","Bastante",0.327,0.327,0.274,0.075,0.32,0.232,0.294,0.311,0.251,0.181
"P05","Poco",0.183,0.266,0.246,0.282,0.215,0.228,0.16,0.052,0.137,0.18
"P05","Nada",0.051,0.143,0.006,0.099,0.077,0.068,0.193,0.354,0.183,0.434
"P05","No sabe",0.031,0,0.039,0,0.06,0,0.044,0.037,0.106,0.137
"P06","Siempre",0.206,0.217,0.203,0.3,0.288,0.174,0.149,0,0.284,0.11
"P06","Casi siempre",0.354,0.346,0.275,0.266,0.22,0.31,0.278,0.33,0.141,0.155
"P06","Casi nunca",0.319,0.274,0.285,0.359,0.341,0.295,0.29,0.304,0.224,0.267
"P06","Nunca, pero esta es una excepción",0.121,0.163,0.237,0.075,0.151,0.221,0.283,0.366,0.351,0.468
"P08","Unión por la Patria",0.621,0.447,0.498,0.472,0.048,0.056,0.081,0,0.142,0.015
"P08","Juntos por el Cambio",0.145,0.172,0.146,0.204,0.728,0.626,0.054,0.019,0.22,0.053
"P08","De los Liberales libertarios",0.06,0.107,0.096,0.029,0.094,0.126,0.67,0.155,0,0.004
"P08","De la Izquierda",0.015,0.034,0.054,0.009,0.014,0.013,0.012,0.266,0,0
"P08","Hacemos por nuestro país",0.006,0.017,0.033,0.061,0.027,0.045,0.045,0.151,0.014,0
"P08","Otro",0.014,0.102,0.064,0.205,0.019,0.013,0.049,0,0.52,0.04
"P08","En blanco",0.006,0.047,0.057,0,0.024,0.041,0.02,0.092,0.065,0.412
"P08","No sabe",0.133,0.074,0.052,0.02,0.046,0.08,0.069,0.317,0.039,0.476
"P14","Sí",0.501,0.628,0.672,0.381,0.584,0.558,0.436,0.736,0.793,0.569
"P14","No",0.499,0.372,0.328,0.619,0.416,0.442,0.564,0.264,0.207,0.431
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.493,0.554,0.233,0.358,0.134,0.021,0.129,0.119,0.098,0.101
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.158,0.046,0.428,0.569,0.011,0.019,0.077,0,0.045,0
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.045,0.066,0.063,0.073,0.629,0.055,0.116,0.071,0.286,0.083
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.056,0.117,0.043,0,0.027,0.74,0.015,0.174,0,0.065
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.111,0.197,0.029,0,0.068,0.057,0.631,0.283,0.022,0.013
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.006,0,0.071,0,0.004,0.026,0.005,0.072,0,0
"P15","Otros",0,0.014,0.094,0,0.003,0.027,0,0.135,0.477,0.04
"P15","No sabe",0.131,0.006,0.039,0,0.124,0.055,0.027,0.146,0.072,0.698
"P18","Mariel Fernández a intendente por Unión por la Patria",0.742,0.151,0.671,0.098,0.221,0.259,0.22,0.05,0.251,0.321
"P18","Damián Contreras a intendente por Unión por la Patria",0.053,0.553,0.048,0.723,0.024,0.138,0.081,0.163,0.248,0.006
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.011,0.024,0,0,0.25,0.063,0.166,0.142,0,0.024
