"var","categoria","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo","A Luis Juez con el apoyo de Horacio Rodríguez Larreta","No sabe"
"P10","A Horacio Rodriguez Larreta",0.195,0.289,0.354
"P10","A Mauricio Macri",0.399,0.31,0.233
"P10","A Patricia Bullrich",0.322,0.357,0.245
"P10","A Facundo Manes",0.031,0.023,0.058
"P10","A Gerardo Morales",0.053,0.021,0.11
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.834,0.603,0.252
"P13","A Martín Llaryora por Hacemos por Córdoba",0.112,0.107,0.402
"P13","Al candidato del Frente de Todos",0.007,0.045,0.032
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.021,0.043,0.015
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.007,0.021,0.012
"P13","Al candidato del Frente de Izquierda",0.001,0.005,0
"P13","Votaría en blanco",0.007,0.086,0.067
"P13","No sabe",0.011,0.09,0.22
"P15","A Luis Juez por Juntos por el Cambio",0.657,0.863,0.26
"P15","A Martín Llaryora por Hacemos por Córdoba",0.22,0.11,0.535
"P15","Al candidato del Frente de Todos",0.013,0.004,0.025
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.027,0.005,0
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.025,0.007,0.016
"P15","Al candidato del Frente de Izquierda",0.006,0.001,0
"P15","Votaría en blanco",0.014,0.006,0.053
"P15","No sabe",0.038,0.004,0.111
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.778,0.876,0.295
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.125,0.072,0.517
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.01,0.007,0.047
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.022,0.02,0.01
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.015,0.003,0.01
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.009,0.005,0.004
"P17","Votaría en blanco",0.008,0.001,0.027
"P17","No sabe",0.033,0.016,0.09
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.828,0.65,0.227
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.101,0.064,0.53
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.006,0.028
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.035,0.055,0.01
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.035,0.01
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.029,0
"P18","Votaría en blanco",0.004,0.065,0.09
"P18","No sabe",0.018,0.096,0.105
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.794,0.907,0.29
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.093,0.04,0.518
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.006,0.018
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.036,0.007,0.014
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.012,0.012
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.007,0.005
"P19","Votaría en blanco",0.025,0.008,0.062
"P19","No sabe",0.027,0.013,0.081
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.831,0.598,0.175
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.095,0.071,0.534
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.007,0.008,0.015
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.033,0.07,0.008
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.009,0.039,0.011
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0.007,0.005
"P20","Votaría en blanco",0.01,0.114,0.1
"P20","No sabe",0.015,0.093,0.152
"P21","Lo votaría",0.702,0.36,0.136
"P21","Puede que lo vote",0.219,0.42,0.389
"P21","Nunca lo votaría",0.077,0.211,0.467
"P21","No sabe",0.002,0.009,0.008
"P22","Lo votaría",0.236,0.061,0.47
"P22","Puede que lo vote",0.165,0.148,0.207
"P22","Nunca lo votaría",0.597,0.783,0.314
"P22","No sabe",0.002,0.008,0.009
"P23","Lo votaría",0.491,0.828,0.184
"P23","Puede que lo vote",0.303,0.094,0.182
"P23","Nunca lo votaría",0.199,0.073,0.577
"P23","No sabe",0.007,0.005,0.057
"P24","Lo votaría",0.125,0.067,0.159
"P24","Puede que lo vote",0.115,0.082,0.216
"P24","Nunca lo votaría",0.758,0.848,0.625
"P24","No sabe",0.002,0.003,0
"P25","Muy buena",0.538,0.321,0.114
"P25","Buena",0.204,0.271,0.163
"P25","Ni buena ni mala",0.235,0.325,0.454
"P25","Mala",0.006,0.038,0.122
"P25","Muy mala",0.002,0.005,0.046
"P25","No sabe",0.015,0.04,0.101
"P26","Muy buena",0.374,0.677,0.124
"P26","Buena",0.32,0.273,0.198
"P26","Ni buena ni mala",0.185,0.028,0.287
"P26","Mala",0.069,0.002,0.196
"P26","Muy mala",0.031,0.002,0.155
"P26","No sabe",0.021,0.018,0.04
"P27","Muy buena",0.125,0.077,0.407
"P27","Buena",0.16,0.123,0.189
"P27","Ni buena ni mala",0.311,0.303,0.244
"P27","Mala",0.241,0.273,0.122
"P27","Muy mala",0.159,0.194,0.038
"P27","No sabe",0.004,0.03,0
"P28","Muy buena",0.132,0.129,0.074
"P28","Buena",0.139,0.158,0.089
"P28","Ni buena ni mala",0.391,0.426,0.484
"P28","Mala",0.083,0.109,0.068
"P28","Muy mala",0.108,0.032,0.021
"P28","No sabe",0.147,0.146,0.264
"P29","Muy buena",0.039,0.039,0.062
"P29","Buena",0.028,0.033,0.099
"P29","Ni buena ni mala",0.086,0.095,0.152
"P29","Mala",0.128,0.196,0.24
"P29","Muy mala",0.677,0.626,0.344
"P29","No sabe",0.042,0.011,0.103
"P30","Muy buena",0.021,0.048,0.183
"P30","Buena",0.011,0.036,0.03
"P30","Ni buena ni mala",0.032,0.018,0.106
"P30","Mala",0.126,0.094,0.17
"P30","Muy mala",0.804,0.786,0.438
"P30","No sabe",0.006,0.018,0.073
"P31","Muy buena",0.409,0.376,0.147
"P31","Buena",0.239,0.202,0.209
"P31","Ni buena ni mala",0.128,0.201,0.293
"P31","Mala",0.062,0.064,0.13
"P31","Muy mala",0.161,0.134,0.21
"P31","No sabe",0.001,0.023,0.011
"P32","Muy buena",0.238,0.236,0.037
"P32","Buena",0.296,0.384,0.239
"P32","Ni buena ni mala",0.286,0.219,0.39
"P32","Mala",0.09,0.053,0.193
"P32","Muy mala",0.08,0.059,0.116
"P32","No sabe",0.01,0.049,0.025
"P33","Muy buena",0.045,0.054,0.113
"P33","Buena",0.055,0.045,0.086
"P33","Ni buena ni mala",0.116,0.072,0.202
"P33","Mala",0.2,0.237,0.23
"P33","Muy mala",0.566,0.563,0.354
"P33","No sabe",0.018,0.029,0.015
"P34","Muy buena",0.49,0.563,0.264
"P34","Buena",0.21,0.214,0.167
"P34","Ni buena ni mala",0.091,0.081,0.202
"P34","Mala",0.073,0.047,0.202
"P34","Muy mala",0.122,0.07,0.15
"P34","No sabe",0.014,0.025,0.015
"P35","Muy buena",0.168,0.176,0.295
"P35","Buena",0.234,0.164,0.223
"P35","Ni buena ni mala",0.256,0.264,0.197
"P35","Mala",0.143,0.193,0.196
"P35","Muy mala",0.18,0.198,0.067
"P35","No sabe",0.019,0.005,0.022
"P36","Muy buena",0.177,0.1,0.089
"P36","Buena",0.178,0.143,0.1
"P36","Ni buena ni mala",0.318,0.353,0.423
"P36","Mala",0.151,0.221,0.197
"P36","Muy mala",0.147,0.123,0.179
"P36","No sabe",0.029,0.06,0.012
"P37","Muy buena",0.204,0.124,0.097
"P37","Buena",0.285,0.281,0.144
"P37","Ni buena ni mala",0.312,0.339,0.414
"P37","Mala",0.076,0.144,0.246
"P37","Muy mala",0.091,0.062,0.06
"P37","No sabe",0.032,0.05,0.039
"P38","Muy buena",0.138,0.084,0.045
"P38","Buena",0.226,0.217,0.135
"P38","Ni buena ni mala",0.354,0.397,0.445
"P38","Mala",0.09,0.133,0.161
"P38","Muy mala",0.112,0.073,0.089
"P38","No sabe",0.08,0.096,0.125
"P39","Muy buena",0.17,0.085,0.121
"P39","Buena",0.197,0.169,0.097
"P39","Ni buena ni mala",0.349,0.446,0.349
"P39","Mala",0.125,0.155,0.149
"P39","Muy mala",0.089,0.08,0.058
"P39","No sabe",0.07,0.065,0.226
