"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.355,0.356,0.353,0.288,0.329,0.388,0.462,0.349,0.349,0.367,0.326,0.377,0.079,0.529,0.256,0.231,0.664,0.693,0.423,0.168
"Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.283,0.267,0.298,0.283,0.312,0.273,0.23,0.334,0.273,0.246,0.286,0.281,0.484,0.191,0.398,0.488,0.076,0.079,0.045,0.192
"A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.089,0.086,0.092,0.075,0.083,0.096,0.114,0.079,0.089,0.1,0.075,0.1,0.263,0.027,0.032,0.077,0.047,0.009,0.031,0.27
"A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.112,0.15,0.076,0.217,0.11,0.063,0.037,0.112,0.114,0.109,0.122,0.104,0.037,0.122,0.101,0.091,0.096,0.092,0.147,0.052
"A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.023,0.022,0.025,0.006,0.024,0.034,0.028,0.016,0.025,0.027,0.035,0.014,0.012,0.023,0.035,0.015,0.011,0.017,0.232,0.007
"A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.022,0.027,0.017,0.016,0.029,0.022,0.013,0.019,0.021,0.025,0.024,0.02,0.031,0.008,0.006,0.005,0.005,0,0.025,0.242
"Votaría en blanco",0.038,0.038,0.038,0.047,0.034,0.039,0.033,0.032,0.037,0.045,0.038,0.038,0.038,0.031,0.045,0.028,0.031,0.044,0.033,0.006
"No sabe",0.078,0.054,0.101,0.068,0.079,0.085,0.083,0.059,0.092,0.081,0.094,0.066,0.056,0.069,0.127,0.065,0.07,0.066,0.064,0.063
