"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.159,0.648,0.524,0.17,0.058,0.303,0.016
"P09","Diego Santilli",0.497,0.107,0.019,0.132,0.066,0.219,0.3
"P09","Facundo Manes",0.199,0.028,0.03,0.186,0.077,0.16,0.299
"P09","Florencio Randazzo",0.008,0.032,0,0,0.552,0.022,0.02
"P09","A los candidatos de la izquierda",0.02,0.013,0.173,0,0.247,0.055,0.005
"P09","Jose Luis Espert",0.045,0.056,0.018,0.182,0,0.107,0.166
"P09","Otros candidatos",0.002,0.035,0.172,0.33,0,0.058,0
"P09","Votaría en blanco o anularía",0.07,0.081,0.064,0,0,0.076,0.194
