"","Si","Puede ser","No"
"Toloza Paz",0.351,0.118,0.068
"Diego Santilli",0.285,0.33,0.069
"Facundo Manes",0.106,0.184,0.243
"Florencio Randazzo",0.042,0.029,0.034
"A los candidatos de la izquierda",0.026,0.094,0.045
"Jose Luis Espert",0.081,0.066,0.061
"Otros candidatos",0.056,0.044,0.013
"Votaría en blanco o anularía",0.053,0.135,0.467
