"","Si","Puede ser","No"
"Toloza Paz",0.357,0.118,0.064
"Diego Santilli",0.282,0.322,0.051
"Facundo Manes",0.105,0.185,0.293
"Florencio Randazzo",0.045,0.046,0.053
"A los candidatos de la izquierda",0.026,0.09,0.038
"Jose Luis Espert",0.072,0.049,0.042
"Otros candidatos",0.054,0.064,0.008
"Votaría en blanco o anularía",0.059,0.126,0.451
