"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.356,0.471,0.086,0.437,0.337,0.413,0.346,0.406,0.339,0.2
"P09","Diego Santilli",0.296,0.14,0.405,0.224,0.28,0.13,0.35,0.091,0.117,0.305
"P09","Facundo Manes",0.135,0.052,0.18,0.04,0.135,0.045,0.021,0.242,0.302,0.136
"P09","Florencio Randazzo",0.033,0.06,0.073,0.061,0.023,0.065,0,0,0.017,0
"P09","A los candidatos de la izquierda",0.011,0.019,0.033,0.042,0,0.04,0,0,0.083,0
"P09","Jose Luis Espert",0.062,0.054,0.096,0,0.043,0.15,0.09,0,0.007,0
"P09","Otros candidatos",0.002,0.078,0.044,0.127,0.089,0.074,0.053,0.101,0.049,0.172
"P09","Votaría en blanco o anularía",0.105,0.126,0.083,0.069,0.093,0.083,0.14,0.16,0.086,0.187
