"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.943,0.861,0.686,0.851,0.619,0.849,0.895,0.434
"Puede ser",0.036,0.115,0.137,0.069,0.26,0.079,0.081,0.128
"No",0.021,0.024,0.177,0.08,0.121,0.072,0.024,0.438
