"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.704,0.612,0.083,0.024,0.087
"P09","Diego Santilli",0.061,0.077,0.307,0.543,0.254
"P09","Facundo Manes",0.028,0.046,0.278,0.156,0.165
"P09","Florencio Randazzo",0.026,0.017,0.083,0.016,0.037
"P09","A los candidatos de la izquierda",0.029,0.033,0.027,0.022,0.068
"P09","Jose Luis Espert",0.042,0.009,0.086,0.14,0.186
"P09","Otros candidatos",0.101,0.078,0.005,0.019,0.03
"P09","Votaría en blanco o anularía",0.009,0.128,0.131,0.08,0.173
