"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Totalmente seguro",0.663,0.681,0.645,0.598,0.656,0.626,0.785,0.685,0.622,0.692,0.663,0.78,0.597,0.774,0.523,0.734,0.615,0.767,0.667,0.652
"Bastante seguro",0.169,0.18,0.16,0.139,0.152,0.268,0.096,0.163,0.163,0.183,0.158,0.165,0.235,0.107,0.107,0.202,0.062,0.149,0.178,0.15
"Algo seguro",0.094,0.106,0.084,0.103,0.138,0.059,0.054,0.051,0.147,0.066,0.109,0.048,0.128,0.046,0.163,0.056,0.254,0.066,0.074,0.138
"Para nada seguro",0.074,0.033,0.111,0.16,0.054,0.047,0.065,0.101,0.068,0.059,0.07,0.007,0.04,0.073,0.207,0.008,0.069,0.018,0.081,0.06
