"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.36,0.337,0.382,0.275,0.376,0.416,0.349,0.348,0.352,0.387,0.684,0.125,0.147,0.799,0.644,0.029,0.139,0.058,0.389,0.3
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.221,0.257,0.113,0.187,0.29,0.429,0.215,0.243,0.263,0.058,0.481,0.134,0.068,0.087,0.777,0.486,0.07,0.221,0.278
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.301,0.366,0.239,0.496,0.336,0.188,0.152,0.324,0.315,0.249,0.166,0.363,0.453,0.1,0.154,0.162,0.251,0.832,0.305,0.29
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.022,0.029,0.025,0.029,0.027,0.018,0.027,0.019,0.036,0.027,0.003,0.123,0.005,0.065,0.002,0.022,0.008,0.022,0.034
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.012,0.025,0.036,0.015,0.02,0.005,0.019,0.016,0.023,0.025,0.006,0.066,0.003,0.028,0.011,0.014,0.013,0.012,0.032
"Otros",0.019,0.017,0.021,0.011,0.026,0.019,0.014,0.028,0.016,0.014,0.009,0.006,0.008,0.005,0.006,0.01,0.029,0.001,0.022,0.015
"En blanco",0.013,0.011,0.015,0.021,0.012,0.01,0.009,0.008,0.014,0.016,0.014,0.004,0.042,0.01,0.001,0.002,0.018,0.007,0.015,0.008
"No sabe",0.023,0.014,0.032,0.023,0.019,0.03,0.024,0.031,0.025,0.012,0.017,0.012,0.027,0.01,0.015,0.007,0.041,0.011,0.014,0.043
