"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.535,0.407,0.55,0.333
"P06","Bastante",0.283,0.386,0.286,0.23
"P06","Poco",0.157,0.165,0.149,0.264
"P06","Nada",0.018,0.029,0.015,0.124
"P06","No sabe",0.007,0.013,0,0.049
"P07","Siempre",0.323,0.242,0.286,0.233
"P07","Casi siempre",0.405,0.417,0.312,0.339
"P07","Casi nunca",0.194,0.271,0.217,0.262
"P07","Nunca, pero esta es una excepción",0.078,0.07,0.185,0.166
"P08","Tiene Decidido que va a ir a votar",0.906,0.918,0.86,0.801
"P08","Tiene dudas sobre si va a ir a  votar",0.059,0.07,0.073,0.133
"P08","Tiene Decidido que no va a ir a votar",0.035,0.012,0.067,0.066
"P11","Unión por la Patria",0.836,0.018,0.164,0.11
"P11","Juntos por el Cambio",0.062,0.502,0.071,0.075
"P11","Liberales",0.028,0.378,0.604,0.256
"P11","Izquierda",0.017,0.025,0.033,0.05
"P11","Otro",0.012,0.032,0.048,0.164
"P11","No sabe",0.045,0.045,0.08,0.345
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.864,0.02,0.134,0.095
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.038,0.561,0.055,0.064
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.049,0.377,0.667,0.459
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.013,0.06,0.045
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.01,0.004,0.04
"P20","Otros",0.003,0.005,0.047,0.137
"P20","En blanco",0.002,0.006,0.026,0.001
"P20","No sabe",0.022,0.008,0.007,0.159
"P23","Totalmente seguro",0.747,0.729,0.726,0.496
"P23","Bastante seguro",0.133,0.154,0.139,0.166
"P23","Algo seguro",0.089,0.081,0.06,0.1
"P23","Para nada seguro",0.031,0.036,0.075,0.238
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.649,0.044,0.125,0.066
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.079,0.535,0.061,0.071
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.057,0.289,0.47,0.361
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.076,0.018,0.034,0.083
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.04,0.024,0.097
"P30","Otros",0.032,0.031,0.08,0.112
"P30","En blanco",0.047,0.026,0.187,0.047
"P30","No sabe",0.039,0.017,0.019,0.163
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.558,0.069,0.056
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.412,0.648,0.483
"P32","En blanco",0.523,0.023,0.276,0.035
"P32","No sabe",0.218,0.007,0.007,0.426
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.914,0.045,0.101,0.018
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.035,0.714,0.651,0.473
"P33","En blanco",0.039,0.13,0.19,0.065
"P33","No sabe",0.012,0.111,0.058,0.444
"P40","Lo votaría",0.881,0.043,0.132,0.05
"P40","Puede que lo vote",0.055,0.11,0.159,0.145
"P40","Nunca lo votaría",0.052,0.836,0.666,0.545
"P40","No sabe",0.012,0.011,0.043,0.26
"P41","Lo votaría",0.073,0.623,0.095,0.068
"P41","Puede que lo vote",0.143,0.25,0.095,0.102
"P41","Nunca lo votaría",0.759,0.101,0.752,0.521
"P41","No sabe",0.025,0.026,0.058,0.309
"P42","Lo votaría",0.041,0.44,0.661,0.487
"P42","Puede que lo vote",0.077,0.284,0.043,0.07
"P42","Nunca lo votaría",0.861,0.24,0.261,0.186
"P42","No sabe",0.021,0.036,0.035,0.257
"P43","Lo votaría",0.139,0.068,0.154,0.029
"P43","Puede que lo vote",0.323,0.108,0.055,0.123
"P43","Nunca lo votaría",0.464,0.772,0.719,0.572
"P43","No sabe",0.074,0.052,0.072,0.276
"P44","Lo votaría",0.073,0.051,0.092,0.072
"P44","Puede que lo vote",0.242,0.21,0.125,0.123
"P44","Nunca lo votaría",0.608,0.686,0.741,0.512
"P44","No sabe",0.077,0.053,0.042,0.293
"P47","Si",0.351,0.608,0.379,0.525
"P47","No",0.649,0.392,0.621,0.475
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.72,0.019,0.252,0.095
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.094,0.565,0.168,0.164
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.107,0.361,0.429,0.307
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.002,0.042,0.099
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.052,0.011,0.133
"P48","Otros",0.01,0.001,0.053,0.101
"P48","En blanco",0.008,0,0.045,0.101
