"var","categoria","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.55,0.443,0.426,0.327,0.372,0.208,0.225
"P06","Bastante",0.28,0.39,0.31,0.26,0.319,0.399,0.22
"P06","Poco",0.133,0.143,0.212,0.296,0.144,0.222,0.177
"P06","Nada",0.03,0.023,0.025,0.054,0.165,0.171,0.324
"P06","No sabe",0.007,0.001,0.027,0.063,0,0,0.054
"P07","Siempre",0.32,0.292,0.199,0.18,0.22,0.178,0.157
"P07","Casi siempre",0.364,0.453,0.335,0.33,0.198,0.431,0.226
"P07","Casi nunca",0.218,0.191,0.336,0.297,0.324,0.305,0.335
"P07","Nunca, pero esta es una excepción",0.098,0.064,0.13,0.193,0.258,0.086,0.282
"P08","Tiene Decidido que va a ir a votar",0.912,0.921,0.931,0.834,0.818,0.792,0.801
"P08","Tiene dudas sobre si va a ir a  votar",0.064,0.065,0.049,0.07,0.114,0.119,0.091
"P08","Tiene Decidido que no va a ir a votar",0.024,0.014,0.02,0.096,0.068,0.089,0.108
"P11","Unión por la Patria",0.851,0.038,0.041,0.255,0.034,0.087,0.098
"P11","Juntos por el Cambio",0.044,0.725,0.063,0.035,0.198,0.132,0.039
"P11","Liberales",0.032,0.193,0.709,0.037,0.038,0.14,0.038
"P11","Izquierda",0.021,0.006,0.015,0.551,0.105,0.016,0
"P11","Otro",0.009,0.018,0.107,0.061,0.237,0.032,0.066
"P11","No sabe",0.043,0.02,0.065,0.061,0.388,0.593,0.759
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.94,0.023,0.006,0.153,0.05,0.052,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.013,0.852,0.036,0.039,0.06,0.074,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.022,0.115,0.944,0,0.046,0.078,0
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.002,0.003,0.792,0,0,0
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0,0.001,0.009,0.006,0.08,0.026,0
"P20","Otros",0.006,0.002,0,0.005,0.747,0.17,0
"P20","En blanco",0.001,0.001,0,0,0,0.447,0
"P20","No sabe",0.007,0.004,0.002,0.005,0.017,0.153,1
"P23","Totalmente seguro",0.745,0.701,0.789,0.513,0.466,0.445,0.386
"P23","Bastante seguro",0.118,0.174,0.128,0.121,0.108,0.072,0.028
"P23","Algo seguro",0.092,0.088,0.066,0.122,0.064,0.097,0.2
"P23","Para nada seguro",0.045,0.037,0.017,0.244,0.362,0.386,0.386
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.638,0.06,0.082,0.251,0.16,0.059,0.118
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.073,0.635,0.212,0.036,0.047,0.144,0.043
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.169,0.555,0.111,0.057,0.246,0.104
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.089,0.022,0.011,0.241,0.014,0.012,0.031
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.037,0.017,0.19,0.16,0.14,0
"P30","Otros",0.026,0.021,0.054,0.005,0.209,0.08,0.216
"P30","En blanco",0.048,0.036,0.053,0.14,0.258,0.13,0.137
"P30","No sabe",0.038,0.02,0.016,0.026,0.095,0.189,0.351
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.895,0.068,0.078,0.314,0.127,0.117,0.373
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.03,0.89,0.483,0.228,0.21,0.247,0.087
"P31","En blanco",0.044,0.017,0.258,0.198,0.249,0.139,0.038
"P31","No sabe",0.031,0.025,0.181,0.26,0.414,0.497,0.502
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.158,0.767,0.092,0.326,0.141,0.113,0.264
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.196,0.846,0.094,0.173,0.26,0.063
"P32","En blanco",0.555,0.018,0.035,0.404,0.25,0.145,0.092
"P32","No sabe",0.222,0.019,0.027,0.176,0.436,0.482,0.581
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.887,0.072,0.058,0.41,0.14,0.098,0.328
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.561,0.881,0.315,0.187,0.309,0.08
"P33","En blanco",0.043,0.191,0.037,0.116,0.291,0.114,0.077
