"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.294,0.285,0.303,0.231,0.269,0.348,0.351,0.299,0.295,0.289,0.518,0.106,0.141,0.617,0.476,0.069,0.17,0.059,0.312,0.256
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.259,0.237,0.277,0.236,0.242,0.252,0.328,0.236,0.276,0.259,0.13,0.411,0.282,0.096,0.126,0.611,0.452,0.256,0.245,0.288
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.225,0.279,0.177,0.322,0.227,0.176,0.176,0.246,0.238,0.182,0.116,0.312,0.285,0.085,0.107,0.187,0.206,0.535,0.229,0.216
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.05,0.043,0.057,0.048,0.062,0.047,0.032,0.042,0.038,0.077,0.069,0.021,0.139,0.075,0.057,0.018,0.01,0.015,0.048,0.055
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.036,0.038,0.035,0.033,0.04,0.043,0.023,0.046,0.027,0.038,0.044,0.033,0.032,0.019,0.062,0.022,0.05,0.035,0.03,0.048
"Otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En blanco",0.041,0.038,0.044,0.051,0.052,0.035,0.015,0.033,0.048,0.041,0.042,0.032,0.003,0.016,0.067,0.039,0.011,0.034,0.037,0.051
"No sabe",0.057,0.051,0.062,0.066,0.065,0.053,0.033,0.055,0.046,0.075,0.052,0.052,0.094,0.047,0.075,0.032,0.028,0.043,0.057,0.057
