"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Si",0.154,0.152,0.155,0.208,0.15,0.145,0.116,0.141,0.168,0.147,0.144,0.134,0.168,0.086,0.136,0.146,0.208,0.142,0.144,0.173
"No",0.846,0.848,0.845,0.792,0.85,0.855,0.884,0.859,0.832,0.853,0.856,0.866,0.832,0.914,0.864,0.854,0.792,0.858,0.856,0.827
