"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","GBA","Interior"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.272,0.347,0.208,0.272,0.342,0.459,0.295,0.297,0.347,0.178,0.496,0.291,0.198,0.216,0.736,0.538,0.077,0.294,0.345
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.306,0.383,0.232,0.507,0.332,0.205,0.172,0.311,0.329,0.265,0.196,0.379,0.522,0.097,0.134,0.214,0.242,0.864,0.313,0.29
"En blanco",0.247,0.237,0.257,0.192,0.261,0.296,0.212,0.231,0.238,0.279,0.419,0.08,0.15,0.456,0.485,0.034,0.137,0.038,0.253,0.236
"No sabe",0.136,0.108,0.164,0.093,0.135,0.157,0.157,0.163,0.136,0.109,0.207,0.045,0.037,0.249,0.165,0.016,0.083,0.021,0.14,0.129
