"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.524,0.297,0.28,0.826,0.182,0.277
"P09","Diego Santilli",0.151,0.316,0.324,0.049,0.624,0
"P09","Facundo Manes",0.075,0.115,0.069,0.023,0.027,0
"P09","Florencio Randazzo",0.041,0.035,0.007,0,0.041,0
"P09","A los candidatos de la izquierda",0.018,0.017,0.018,0,0.038,0.119
"P09","Jose Luis Espert",0.105,0.083,0.101,0,0.052,0.47
"P09","Otros candidatos",0.075,0.056,0.062,0.102,0,0
"P09","Votaría en blanco o anularía",0.011,0.081,0.139,0,0.036,0.134
