"","Si","Puede ser","No"
"Toloza Paz",0.436,0.195,0.014
"Diego Santilli",0.223,0.334,0.191
"Facundo Manes",0.081,0.059,0.095
"Florencio Randazzo",0.041,0.04,0.013
"A los candidatos de la izquierda",0.024,0.069,0.031
"Jose Luis Espert",0.088,0.023,0.02
"Otros candidatos",0.063,0.156,0.092
"Votaría en blanco o anularía",0.044,0.124,0.544
