"var","categoria","Mejor","Igual","Peor","No sabe"
"P09","Toloza Paz",0.861,0.48,0.111,0.51
"P09","Diego Santilli",0.049,0.159,0.392,0.124
"P09","Facundo Manes",0.023,0.051,0.137,0.046
"P09","Florencio Randazzo",0.006,0.048,0.049,0.059
"P09","A los candidatos de la izquierda",0.011,0.062,0.021,0.009
"P09","Jose Luis Espert",0.039,0.069,0.123,0.036
"P09","Otros candidatos",0.009,0.073,0.085,0.151
"P09","Votaría en blanco o anularía",0.002,0.058,0.082,0.065
