"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.095,0.621,0.584,0.119,0.432,0.618,0.078
"P09","Diego Santilli",0.444,0.085,0.191,0.249,0.08,0.136,0.497
"P09","Facundo Manes",0.12,0.049,0.068,0.019,0.242,0.095,0.106
"P09","Florencio Randazzo",0.056,0.04,0.021,0,0,0.013,0.021
"P09","A los candidatos de la izquierda",0.013,0.017,0.008,0.125,0,0.034,0
"P09","Jose Luis Espert",0.196,0.053,0.101,0.315,0.075,0.009,0.018
"P09","Otros candidatos",0.06,0.096,0.007,0,0.065,0.053,0.126
"P09","Votaría en blanco o anularía",0.016,0.039,0.02,0.173,0.106,0.042,0.154
