"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.447,0.425,0.463,0.674,0.478,0.369
"P04","Realizo changas o trabajos de vez en cuando",0.182,0.188,0.277,0.183,0.195,0.169
"P04","No tengo trabajo",0.16,0.126,0.174,0.046,0.16,0.238
"P04","Soy jubilado o pensionado",0.211,0.261,0.086,0.097,0.167,0.224
"P05","1",0.255,0.359,0.395,0.226,0.269,0.238
"P05","2",0.062,0.07,0.101,0.132,0.08,0.081
"P05","3",0.026,0.065,0.091,0.039,0.043,0.064
"P05","4",0.034,0.103,0.099,0.072,0.098,0.078
"P05","5",0.117,0.233,0.177,0.131,0.24,0.285
"P05","6",0.058,0.041,0.016,0.025,0.064,0.05
"P05","7",0.137,0.031,0.025,0.086,0.062,0.043
"P05","8",0.099,0.011,0.013,0.103,0.038,0.015
"P05","9",0.212,0.087,0.083,0.186,0.106,0.146
"P06","1",0.474,0.145,0.125,0.315,0.189,0.24
"P06","2",0.07,0.053,0.027,0.186,0.021,0.024
"P06","3",0.082,0.035,0.013,0.143,0.037,0.072
"P06","4",0.035,0.037,0.017,0.076,0.08,0.057
"P06","5",0.139,0.212,0.153,0.109,0.279,0.28
"P06","6",0.036,0.059,0.044,0.056,0.084,0.062
"P06","7",0.031,0.097,0.092,0.005,0.069,0.048
"P06","8",0.033,0.085,0.125,0.005,0.045,0.028
"P06","9",0.1,0.277,0.404,0.105,0.196,0.189
"P07","1",0.583,0.249,0.211,0.622,0.271,0.313
"P07","2",0.04,0.045,0.031,0.036,0.028,0.03
"P07","3",0.034,0.033,0.016,0.026,0.042,0.033
"P07","4",0.014,0.026,0.011,0.02,0.018,0.015
"P07","5",0.058,0.099,0.123,0.03,0.19,0.112
"P07","6",0.018,0.027,0.042,0.001,0.02,0.057
"P07","7",0.014,0.044,0.056,0.001,0.053,0.028
"P07","8",0.013,0.047,0.069,0.036,0.03,0.036
"P07","9",0.226,0.43,0.441,0.228,0.348,0.376
"P09","Del Frente de Todos y el peronismo",0.797,0.08,0.038,0.131,0.185,0.181
"P09","De Juntos por el cambio",0.09,0.775,0.203,0.075,0.375,0.229
"P09","De los Liberales libertarios",0.009,0.048,0.672,0.019,0.078,0.061
"P09","De la Izquierda",0.021,0.005,0.006,0.536,0.065,0.028
"P09","No sabe",0.083,0.092,0.081,0.239,0.297,0.501
"P10","A Alberto Fernández",0.192,0.155,0.309,0.069,0.086,0.49
"P10","A Sergio Massa",0.231,0.236,0.154,0.131,0.372,0.122
"P10","A algún candidato del peronismo",0.101,0.455,0.391,0.406,0.393,0.17
"P10","A algún candidato del kirchnerismo",0.476,0.154,0.146,0.394,0.149,0.218
"P11","A Alberto Fernández",0.144,0.133,0.3,0.069,0.103,0.362
"P11","A Sergio Massa",0.121,0.264,0.107,0.131,0.314,0.207
"P11","A algún candidato del peronismo",0.069,0.41,0.475,0.435,0.334,0.163
"P11","A Cristina Fernández de Kirchner",0.666,0.193,0.118,0.365,0.249,0.268
"P12","A Horacio Rodriguez Larreta",0.319,0.262,0.13,0.028,0.146,0.149
"P12","A Mauricio Macri",0.258,0.35,0.247,0.472,0.278,0.38
"P12","A Patricia Bullrich",0.259,0.313,0.558,0.028,0.378,0.365
"P12","A Facundo Manes",0.106,0.035,0.054,0.472,0.106,0.073
"P12","A Gerardo Morales",0.058,0.04,0.011,0,0.092,0.033
"P13","Seguro lo votaria",0.182,0.137,0.479,0,0.15,0.115
"P13","Quizás lo votaría",0.354,0.366,0.356,0.421,0.326,0.452
"P13","Nunca lo votaría",0.464,0.497,0.165,0.579,0.524,0.433
"P14","Lo votaría",0.056,0.482,0.215,0.045,0.172,0.136
"P14","Puede que lo vote",0.048,0.294,0.363,0.122,0.207,0.131
"P14","Nunca lo votaría",0.834,0.169,0.348,0.728,0.505,0.509
"P14","No sabe",0.062,0.055,0.074,0.105,0.116,0.224
"P15","Lo votaría",0.263,0.07,0.043,0.074,0.083,0.077
"P15","Puede que lo vote",0.381,0.109,0.108,0.096,0.156,0.115
"P15","Nunca lo votaría",0.272,0.786,0.818,0.614,0.677,0.562
"P15","No sabe",0.084,0.035,0.031,0.216,0.084,0.246
"P16","Lo votaría",0.307,0.051,0.024,0.088,0.057,0.098
"P16","Puede que lo vote",0.379,0.048,0.039,0.269,0.129,0.109
"P16","Nunca lo votaría",0.239,0.88,0.909,0.466,0.739,0.619
"P16","No sabe",0.075,0.021,0.028,0.177,0.075,0.174
"P17","La votaría",0.787,0.051,0.023,0.193,0.05,0.083
"P17","Puede que la vote",0.108,0.016,0.021,0.229,0.089,0.134
"P17","Nunca la votaría",0.087,0.918,0.937,0.386,0.796,0.603
"P17","No sabe",0.018,0.015,0.019,0.192,0.065,0.18
"P18","Lo votaría",0.094,0.366,0.041,0.038,0.042,0.05
"P18","Puede que lo vote",0.076,0.441,0.28,0.098,0.257,0.24
"P18","Nunca lo votaría",0.794,0.14,0.597,0.737,0.572,0.468
"P18","No sabe",0.036,0.053,0.082,0.127,0.129,0.242
"P19","Lo votaría",0.032,0.154,0.049,0.044,0.112,0.062
"P19","Puede que lo vote",0.14,0.347,0.19,0.199,0.258,0.218
"P19","Nunca lo votaría",0.691,0.396,0.63,0.605,0.472,0.368
"P19","No sabe",0.137,0.103,0.131,0.152,0.158,0.352
"P20","La votaría",0.061,0.496,0.34,0.063,0.329,0.153
"P20","Puede que la vote",0.035,0.289,0.325,0.056,0.156,0.177
"P20","Nunca la votaría",0.856,0.168,0.287,0.802,0.442,0.463
"P20","No sabe",0.048,0.047,0.048,0.079,0.073,0.207
"P21","Lo votaría",0.032,0.104,0.714,0.02,0.104,0.057
"P21","Puede que lo vote",0.064,0.304,0.203,0.126,0.226,0.216
"P21","Nunca lo votaría",0.847,0.519,0.064,0.775,0.581,0.55
"P21","No sabe",0.057,0.073,0.019,0.079,0.089,0.177
"P22","La votaría",0.028,0.293,0.138,0.009,0.101,0.068
"P22","Puede que la vote",0.072,0.357,0.257,0.104,0.203,0.221
"P22","Nunca la votaría",0.832,0.257,0.488,0.769,0.554,0.437
"P22","No sabe",0.068,0.093,0.117,0.118,0.142,0.274
"P23","Lo votaría",0.318,0.053,0.025,0.143,0.044,0.036
"P23","Puede que lo vote",0.267,0.093,0.059,0.107,0.119,0.093
"P23","Nunca lo votaría",0.33,0.766,0.786,0.492,0.71,0.583
"P23","No sabe",0.085,0.088,0.13,0.258,0.127,0.288
"P24","Lo votaría",0.048,0.099,0.039,0.014,0.062,0.021
"P24","Puede que lo vote",0.087,0.308,0.114,0.15,0.227,0.139
"P24","Nunca lo votaría",0.732,0.468,0.708,0.617,0.528,0.499
"P24","No sabe",0.133,0.125,0.139,0.219,0.183,0.341
"P25","Mauricio Macri por Juntos por el Cambio",0.032,0.305,0.105,0,0.123,0.11
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.265,0.01,0.108,0.023,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.029,0.269,0.193,0.048,0.286,0.117
"P25","Facundo Manes por Juntos por el Cambio",0.008,0.044,0.022,0.062,0.129,0.072
"P25","Alberto Fernández por el Frente de Todos",0.136,0.026,0.022,0.083,0.064,0.073
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.731,0.027,0.005,0.097,0.044,0.066
"P25","Javier Milei por los liberales libertarios",0.001,0.005,0.613,0.003,0.02,0.041
"P25","Nicolás del Caño por la izquierda",0.003,0.001,0.003,0.467,0.008,0.018
"P25","Otros candidatos",0.019,0.014,0.008,0.021,0.224,0.092
"P25","Aún no lo tengo decidido",0.023,0.044,0.019,0.111,0.079,0.382
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.337,0.037,0.028,0.041,0.081
"P26","Patricia Bullrich por Juntos por el Cambio",0.053,0.45,0.225,0.085,0.309,0.148
"P26","Facundo Manes por Juntos por el Cambio",0.025,0.088,0.063,0.012,0.184,0.09
"P26","Wado de Pedro por el Frente de Todos",0.364,0.022,0.01,0.163,0.06,0.043
"P26","Sergio Massa por el Frente de Todos",0.359,0.053,0.006,0.095,0.108,0.102
"P26","Javier Milei por los liberales libertarios",0.026,0.012,0.56,0.015,0.047,0.047
"P26","Nicolás del Caño por la izquierda",0.014,0.002,0.076,0.347,0.002,0.008
"P26","Otros candidatos",0.035,0.007,0.009,0.122,0.14,0.052
"P26","Aún no lo tengo decidido",0.093,0.029,0.014,0.133,0.109,0.429
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.875,0.054,0.01,0.102,0.072,0.064
"P27","Mauricio Macri por Juntos por el Cambio",0.058,0.683,0.177,0.007,0.209,0.171
