"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Cristina Fernández de Kirchner por el Frente de Todos",0.294,0.257,0.33,0.271,0.32,0.286,0.271,0.339,0.272,0.277,0.261,0.276,0.288,0.33,0.68,0.056,0.031
"Mauricio Macri por Juntos por el Cambio",0.263,0.245,0.281,0.171,0.222,0.315,0.4,0.246,0.257,0.289,0.293,0.214,0.192,0.269,0.07,0.537,0.126
"Javier Milei por los liberales libertarios",0.207,0.278,0.138,0.328,0.23,0.15,0.088,0.193,0.231,0.19,0.202,0.298,0.212,0.172,0.074,0.228,0.278
"Nicolás del Caño por la izquierda",0.025,0.019,0.03,0.035,0.029,0.02,0.007,0.024,0.023,0.026,0.018,0.011,0.041,0.033,0.022,0.009,0.045
"Otro candidato",0.1,0.102,0.098,0.075,0.109,0.108,0.1,0.095,0.102,0.104,0.111,0.074,0.121,0.1,0.07,0.094,0.231
"Aún no lo tengo decidido",0.111,0.099,0.123,0.12,0.09,0.121,0.134,0.103,0.115,0.114,0.115,0.127,0.146,0.096,0.084,0.076,0.289
