"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.329,0.286,0.297,0.283
"P05","2",0.056,0.134,0.071,0.049
"P05","3",0.056,0.049,0.109,0.039
"P05","4",0.061,0.036,0.046,0.159
"P05","5",0.205,0.174,0.171,0.179
"P05","6",0.053,0.019,0.039,0.031
"P05","7",0.084,0.041,0.037,0.046
"P05","8",0.045,0.046,0.029,0.045
"P05","9",0.111,0.215,0.201,0.169
"P06","1",0.237,0.273,0.319,0.291
"P06","2",0.06,0.051,0.036,0.041
"P06","3",0.052,0.033,0.051,0.041
"P06","4",0.044,0.032,0.046,0.036
"P06","5",0.201,0.193,0.186,0.161
"P06","6",0.059,0.035,0.035,0.049
"P06","7",0.073,0.046,0.036,0.065
"P06","8",0.068,0.049,0.054,0.06
"P06","9",0.206,0.288,0.237,0.256
"P07","1",0.381,0.367,0.338,0.352
"P07","2",0.039,0.034,0.031,0.036
"P07","3",0.046,0.012,0.028,0.018
"P07","4",0.019,0.018,0.014,0.02
"P07","5",0.124,0.083,0.091,0.091
"P07","6",0.027,0.03,0.023,0.024
"P07","7",0.029,0.042,0.02,0.037
"P07","8",0.042,0.036,0.023,0.032
"P07","9",0.293,0.378,0.432,0.39
"P09","Del Frente de Todos y el peronismo",0.314,0.29,0.27,0.297
"P09","De Juntos por el cambio",0.318,0.287,0.275,0.446
"P09","De los Liberales libertarios",0.183,0.189,0.191,0.084
"P09","De la Izquierda",0.037,0.044,0.031,0.022
"P09","No sabe",0.148,0.19,0.233,0.151
"P10","A Alberto Fernández",0.142,0.444,0.329,0.169
"P10","A Sergio Massa",0.258,0.149,0.171,0.255
"P10","A algún candidato del peronismo",0.155,0.156,0.2,0.139
"P10","A algún candidato del kirchnerismo",0.445,0.251,0.3,0.437
"P11","A Alberto Fernández",0.092,0.437,0.258,0.148
"P11","A Sergio Massa",0.172,0.096,0.127,0.125
"P11","A algún candidato del peronismo",0.133,0.137,0.138,0.112
"P11","A Cristina Fernández de Kirchner",0.603,0.33,0.477,0.615
"P12","A Horacio Rodriguez Larreta",0.261,0.255,0.194,0.241
"P12","A Mauricio Macri",0.302,0.292,0.334,0.335
"P12","A Patricia Bullrich",0.305,0.339,0.354,0.339
"P12","A Facundo Manes",0.076,0.054,0.067,0.054
"P12","A Gerardo Morales",0.056,0.06,0.051,0.031
"P13","Seguro lo votaria",0.178,0.287,0.253,0.153
"P13","Quizás lo votaría",0.352,0.395,0.322,0.345
"P13","Nunca lo votaría",0.47,0.318,0.425,0.502
"P14","Lo votaría",0.192,0.219,0.191,0.285
"P14","Puede que lo vote",0.214,0.197,0.193,0.186
"P14","Nunca lo votaría",0.524,0.474,0.483,0.42
"P14","No sabe",0.07,0.11,0.133,0.109
"P15","Lo votaría",0.123,0.119,0.13,0.156
"P15","Puede que lo vote",0.196,0.183,0.175,0.168
"P15","Nunca lo votaría",0.604,0.595,0.585,0.578
"P15","No sabe",0.077,0.103,0.11,0.098
"P16","Lo votaría",0.088,0.209,0.201,0.123
"P16","Puede que lo vote",0.175,0.131,0.145,0.137
"P16","Nunca lo votaría",0.66,0.577,0.578,0.654
"P16","No sabe",0.077,0.083,0.076,0.086
"P17","La votaría",0.257,0.288,0.31,0.269
"P17","Puede que la vote",0.074,0.058,0.078,0.045
"P17","Nunca la votaría",0.634,0.596,0.537,0.631
"P17","No sabe",0.035,0.058,0.075,0.055
"P18","Lo votaría",0.127,0.122,0.107,0.186
"P18","Puede que lo vote",0.252,0.226,0.209,0.259
"P18","Nunca lo votaría",0.555,0.533,0.558,0.44
"P18","No sabe",0.066,0.119,0.126,0.115
"P19","Lo votaría",0.076,0.07,0.062,0.084
"P19","Puede que lo vote",0.222,0.191,0.213,0.226
"P19","Nunca lo votaría",0.573,0.532,0.551,0.508
"P19","No sabe",0.129,0.207,0.174,0.182
"P20","La votaría",0.239,0.235,0.232,0.319
"P20","Puede que la vote",0.208,0.189,0.16,0.182
"P20","Nunca la votaría",0.492,0.462,0.497,0.425
"P20","No sabe",0.061,0.114,0.111,0.074
"P21","Lo votaría",0.209,0.28,0.246,0.132
"P21","Puede que lo vote",0.186,0.212,0.18,0.165
"P21","Nunca lo votaría",0.552,0.409,0.477,0.608
"P21","No sabe",0.053,0.099,0.097,0.095
"P22","La votaría",0.118,0.122,0.12,0.149
"P22","Puede que la vote",0.217,0.213,0.186,0.205
"P22","Nunca la votaría",0.574,0.518,0.565,0.483
"P22","No sabe",0.091,0.147,0.129,0.163
"P23","Lo votaría",0.134,0.081,0.078,0.139
"P23","Puede que lo vote",0.153,0.098,0.114,0.12
"P23","Nunca lo votaría",0.601,0.638,0.645,0.622
"P23","No sabe",0.112,0.183,0.163,0.119
"P24","Lo votaría",0.065,0.048,0.04,0.071
"P24","Puede que lo vote",0.161,0.129,0.139,0.203
"P24","Nunca lo votaría",0.634,0.611,0.632,0.553
"P24","No sabe",0.14,0.212,0.189,0.173
"P25","Mauricio Macri por Juntos por el Cambio",0.122,0.116,0.091,0.194
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.086,0.079,0.049,0.106
"P25","Patricia Bullrich por Juntos por el Cambio",0.14,0.147,0.155,0.181
"P25","Facundo Manes por Juntos por el Cambio",0.054,0.028,0.018,0.043
"P25","Alberto Fernández por el Frente de Todos",0.034,0.127,0.146,0.063
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.259,0.18,0.207,0.238
"P25","Javier Milei por los liberales libertarios",0.155,0.215,0.181,0.048
"P25","Nicolás del Caño por la izquierda",0.018,0.018,0.005,0.005
"P25","Otros candidatos",0.058,0.027,0.039,0.032
"P25","Aún no lo tengo decidido",0.074,0.063,0.109,0.09
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.116,0.085,0.163
"P26","Patricia Bullrich por Juntos por el Cambio",0.21,0.204,0.198,0.283
"P26","Facundo Manes por Juntos por el Cambio",0.078,0.058,0.045,0.08
"P26","Wado de Pedro por el Frente de Todos",0.15,0.077,0.086,0.151
"P26","Sergio Massa por el Frente de Todos",0.146,0.131,0.174,0.134
"P26","Javier Milei por los liberales libertarios",0.153,0.232,0.175,0.052
"P26","Nicolás del Caño por la izquierda",0.038,0.037,0.027,0.01
"P26","Otros candidatos",0.04,0.043,0.03,0.027
"P26","Aún no lo tengo decidido",0.081,0.102,0.18,0.1
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.299,0.264,0.314,0.299
"P27","Mauricio Macri por Juntos por el Cambio",0.25,0.241,0.21,0.364
"P27","Javier Milei por los liberales libertarios",0.207,0.29,0.239,0.087
"P27","Nicolás del Caño por la izquierda",0.026,0.029,0.027,0.013
"P27","Otro candidato",0.118,0.079,0.093,0.089
"P27","Aún no lo tengo decidido",0.1,0.097,0.117,0.148
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.242,0.223,0.206,0.342
"P29","Wado de Pedro por el Frente de Todos",0.261,0.168,0.191,0.255
"P29","Javier Milei por los liberales libertarios",0.238,0.333,0.27,0.108
"P29","Nicolás del Caño por la izquierda",0.02,0.025,0.03,0.023
"P29","Otro candidato",0.135,0.11,0.126,0.088
"P29","Aún no lo tengo decidido",0.104,0.141,0.177,0.184
"P31","Sergio Massa por el Frente de Todos",0.26,0.191,0.228,0.24
"P31","Patricia Bullrich por Juntos por el Cambio",0.295,0.307,0.275,0.438
"P31","Javier Milei por los liberales libertarios",0.194,0.295,0.22,0.072
"P31","Nicolás del Caño por la izquierda",0.038,0.026,0.02,0.017
"P31","Otro candidato",0.119,0.081,0.099,0.08
"P31","Aún no lo tengo decidido",0.094,0.1,0.158,0.153
"P33","Sergio Massa por el Frente de Todos",0.25,0.18,0.223,0.264
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.252,0.235,0.211,0.351
"P33","Javier Milei por los liberales libertarios",0.232,0.315,0.263,0.102
"P33","Nicolás del Caño por la izquierda",0.04,0.032,0.018,0.017
"P33","Otro candidato",0.138,0.116,0.117,0.118
"P33","Aún no lo tengo decidido",0.088,0.122,0.168,0.148
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.297,0.261,0.298,0.33
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.252,0.241,0.21,0.365
"P35","Javier Milei por los liberales libertarios",0.246,0.318,0.26,0.107
"P35","Nicolás del Caño por la izquierda",0.031,0.018,0.006,0.01
"P35","Otro candidato",0.102,0.09,0.095,0.084
"P35","Aún no lo tengo decidido",0.072,0.072,0.131,0.104
"P36","Sergio Massa por el Frente de Todos",0.261,0.192,0.228,0.273
"P36","Mauricio Macri por Juntos por el Cambio",0.267,0.268,0.23,0.375
"P36","Javier Milei por los liberales libertarios",0.211,0.306,0.259,0.079
"P36","Nicolás del Caño por la izquierda",0.037,0.027,0.022,0.018
"P36","Otro candidato",0.142,0.098,0.108,0.135
"P36","Aún no lo tengo decidido",0.082,0.109,0.153,0.12
"P37","Wado de Pedro por el Frente de Todos",0.268,0.183,0.167,0.27
"P37","Mauricio Macri por Juntos por el Cambio",0.27,0.276,0.269,0.402
"P37","Javier Milei por los liberales libertarios",0.212,0.317,0.257,0.072
"P37","Nicolás del Caño por la izquierda",0.027,0.025,0.023,0.017
"P37","Otro candidato",0.14,0.096,0.103,0.097
"P37","Aún no lo tengo decidido",0.083,0.103,0.181,0.142
"P38","Wado de Pedro por el Frente de Todos",0.275,0.168,0.189,0.262
"P38","Patricia Bullrich por Juntos por el Cambio",0.328,0.323,0.286,0.443
"P38","Javier Milei por los liberales libertarios",0.179,0.284,0.224,0.067
"P38","Nicolás del Caño por la izquierda",0.025,0.021,0.033,0.015
"P38","Otro candidato",0.119,0.114,0.081,0.08
"P38","Aún no lo tengo decidido",0.074,0.09,0.187,0.133
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.303,0.248,0.279,0.308
"P39","Patricia Bullrich por Juntos por el Cambio",0.322,0.351,0.318,0.464
"P39","Javier Milei por los liberales libertarios",0.19,0.27,0.192,0.071
"P39","Nicolás del Caño por la izquierda",0.026,0.016,0.015,0.012
"P39","Otro candidato",0.094,0.058,0.081,0.059
"P39","Aún no lo tengo decidido",0.065,0.057,0.115,0.086
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.347,0.292,0.347,0.346
"P40","Mauricio Macri por Juntos por el Cambio",0.436,0.451,0.42,0.478
"P40","No sabe",0.217,0.257,0.233,0.176
"P41","Wado de Pedro por el Frente de Todos",0.317,0.183,0.227,0.297
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.398,0.432,0.412,0.472
"P41","No sabe",0.285,0.385,0.361,0.231
"P42","Sergio Massa por el Frente de Todos",0.315,0.216,0.235,0.296
"P42","Patricia Bullrich por Juntos por el Cambio",0.464,0.497,0.477,0.517
"P42","No sabe",0.221,0.287,0.288,0.187
"P43","Sergio Massa por el Frente de Todos",0.334,0.238,0.245,0.281
"P43","Mauricio Macri por Juntos por el Cambio",0.446,0.486,0.457,0.529
"P43","No sabe",0.22,0.276,0.298,0.19
"P44","Sergio Massa por el Frente de Todos",0.338,0.231,0.215,0.263
"P44","Javier Milei por los liberales libertarios",0.421,0.48,0.413,0.305
"P44","No sabe",0.241,0.289,0.372,0.432
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.313,0.261,0.223,0.325
"P45","Javier Milei por los liberales libertarios",0.355,0.427,0.381,0.206
"P45","No sabe",0.332,0.312,0.396,0.469
"P46","Patricia Bullrich por Juntos por el Cambio",0.467,0.449,0.484,0.538
"P46","Wado de Pedro por el Frente de Todos",0.326,0.221,0.255,0.243
"P46","No sabe",0.207,0.33,0.261,0.219
"P47","Patricia Bullrich por Juntos por el Cambio",0.516,0.515,0.538,0.566
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.343,0.256,0.29,0.317
"P47","No sabe",0.141,0.229,0.172,0.117
"P48","Muy buena",0.095,0.143,0.101,0.128
