"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.451,0.422,0.442,0.479,0.522,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.19,0.194,0.297,0.248,0.166,0.184
"P04","No tengo trabajo",0.17,0.127,0.183,0.174,0.148,0.167
"P04","Soy jubilado o pensionado",0.189,0.257,0.078,0.099,0.164,0.248
"P05","1",0.267,0.396,0.373,0.159,0.242,0.205
"P05","2",0.054,0.08,0.092,0.119,0.082,0.068
"P05","3",0.031,0.076,0.079,0.018,0.047,0.062
"P05","4",0.029,0.101,0.089,0.08,0.107,0.079
"P05","5",0.111,0.191,0.217,0.204,0.269,0.301
"P05","6",0.063,0.027,0.016,0.034,0.081,0.058
"P05","7",0.132,0.025,0.028,0.051,0.056,0.064
"P05","8",0.083,0.019,0.016,0.055,0.029,0.037
"P05","9",0.23,0.085,0.09,0.28,0.087,0.126
"P06","1",0.484,0.132,0.138,0.329,0.211,0.244
"P06","2",0.079,0.038,0.029,0.108,0.037,0.033
"P06","3",0.08,0.023,0.022,0.101,0.028,0.069
"P06","4",0.036,0.034,0.026,0.016,0.06,0.057
"P06","5",0.125,0.193,0.161,0.259,0.291,0.266
"P06","6",0.035,0.056,0.049,0.057,0.064,0.073
"P06","7",0.032,0.094,0.079,0.01,0.086,0.054
"P06","8",0.029,0.099,0.114,0.007,0.068,0.024
"P06","9",0.1,0.331,0.382,0.113,0.155,0.18
"P07","1",0.615,0.196,0.228,0.592,0.348,0.298
"P07","2",0.043,0.029,0.034,0.025,0.052,0.037
"P07","3",0.036,0.03,0.013,0.041,0.036,0.02
"P07","4",0.018,0.022,0.016,0.023,0.014,0.013
"P07","5",0.048,0.109,0.123,0.037,0.129,0.167
"P07","6",0.02,0.031,0.036,0.001,0.017,0.038
"P07","7",0.012,0.051,0.049,0,0.044,0.03
"P07","8",0.008,0.049,0.065,0.017,0.044,0.039
"P07","9",0.2,0.483,0.436,0.264,0.316,0.358
"P09","Del Frente de Todos y el peronismo",0.815,0.059,0.039,0.204,0.183,0.175
"P09","De Juntos por el cambio",0.056,0.807,0.156,0.065,0.41,0.223
"P09","De los Liberales libertarios",0.012,0.074,0.695,0.068,0.078,0.065
"P09","De la Izquierda",0.016,0.008,0.007,0.404,0.033,0.053
"P09","No sabe",0.101,0.052,0.103,0.259,0.296,0.484
"P10","A Alberto Fernández",0.189,0.307,0.309,0.3,0.172,0.434
"P10","A Sergio Massa",0.216,0.051,0.156,0.321,0.441,0.242
"P10","A algún candidato del peronismo",0.102,0.589,0.227,0.326,0.343,0.18
"P10","A algún candidato del kirchnerismo",0.493,0.053,0.308,0.053,0.044,0.144
"P11","A Alberto Fernández",0.149,0.296,0.473,0.277,0.116,0.298
"P11","A Sergio Massa",0.11,0.143,0.107,0.321,0.417,0.262
"P11","A algún candidato del peronismo",0.061,0.508,0.29,0.349,0.344,0.251
"P11","A Cristina Fernández de Kirchner",0.68,0.053,0.13,0.053,0.123,0.189
"P12","A Horacio Rodriguez Larreta",0.383,0.186,0.264,0.174,0.296,0.332
"P12","A Mauricio Macri",0.121,0.435,0.098,0.043,0.063,0.157
"P12","A Patricia Bullrich",0.126,0.334,0.517,0.276,0.38,0.362
"P12","A Facundo Manes",0.214,0.021,0.088,0.426,0.153,0.058
"P12","A Gerardo Morales",0.156,0.024,0.033,0.081,0.108,0.091
"P13","Seguro lo votaria",0.231,0.156,0.566,0.069,0.088,0.16
"P13","Quizás lo votaría",0.165,0.4,0.205,0.124,0.354,0.422
"P13","Nunca lo votaría",0.604,0.444,0.229,0.807,0.558,0.418
"P14","Lo votaría",0.021,0.662,0.111,0.046,0.05,0.07
"P14","Puede que lo vote",0.036,0.245,0.389,0.102,0.273,0.223
"P14","Nunca lo votaría",0.871,0.077,0.397,0.794,0.556,0.477
"P14","No sabe",0.072,0.016,0.103,0.058,0.121,0.23
"P15","Lo votaría",0.242,0.081,0.031,0.126,0.107,0.098
"P15","Puede que lo vote",0.383,0.079,0.135,0.107,0.138,0.151
"P15","Nunca lo votaría",0.274,0.823,0.788,0.563,0.665,0.548
"P15","No sabe",0.101,0.017,0.046,0.204,0.09,0.203
"P16","Lo votaría",0.337,0.035,0.035,0.089,0.054,0.102
"P16","Puede que lo vote",0.386,0.029,0.042,0.248,0.124,0.089
"P16","Nunca lo votaría",0.189,0.925,0.887,0.484,0.758,0.644
"P16","No sabe",0.088,0.011,0.036,0.179,0.064,0.165
"P17","La votaría",0.823,0.026,0.025,0.18,0.049,0.1
"P17","Puede que la vote",0.112,0.014,0.026,0.2,0.059,0.113
"P17","Nunca la votaría",0.033,0.955,0.921,0.515,0.82,0.647
"P17","No sabe",0.032,0.005,0.028,0.105,0.072,0.14
"P18","Lo votaría",0.086,0.272,0.074,0.055,0.158,0.091
"P18","Puede que lo vote",0.06,0.429,0.262,0.104,0.285,0.31
"P18","Nunca lo votaría",0.808,0.256,0.57,0.734,0.422,0.386
"P18","No sabe",0.046,0.043,0.094,0.107,0.135,0.213
"P19","Lo votaría",0.034,0.095,0.074,0.071,0.17,0.083
"P19","Puede que lo vote",0.11,0.332,0.184,0.143,0.297,0.266
"P19","Nunca lo votaría",0.703,0.495,0.582,0.564,0.39,0.337
"P19","No sabe",0.153,0.078,0.16,0.222,0.143,0.314
"P20","La votaría",0.021,0.614,0.264,0.037,0.273,0.164
"P20","Puede que la vote",0.04,0.248,0.355,0.047,0.195,0.204
"P20","Nunca la votaría",0.889,0.108,0.312,0.833,0.429,0.447
"P20","No sabe",0.05,0.03,0.069,0.083,0.103,0.185
"P21","Lo votaría",0.032,0.174,0.726,0.052,0.073,0.071
"P21","Puede que lo vote",0.048,0.324,0.18,0.124,0.218,0.229
"P21","Nunca lo votaría",0.863,0.439,0.06,0.713,0.61,0.545
"P21","No sabe",0.057,0.063,0.034,0.111,0.099,0.155
"P22","La votaría",0.025,0.276,0.144,0.003,0.095,0.106
"P22","Puede que la vote",0.049,0.367,0.256,0.089,0.251,0.202
"P22","Nunca la votaría",0.857,0.264,0.484,0.781,0.523,0.423
"P22","No sabe",0.069,0.093,0.116,0.127,0.131,0.269
"P23","Lo votaría",0.323,0.043,0.03,0.06,0.04,0.038
"P23","Puede que lo vote",0.26,0.078,0.052,0.163,0.134,0.09
"P23","Nunca lo votaría",0.321,0.821,0.749,0.599,0.709,0.558
"P23","No sabe",0.096,0.058,0.169,0.178,0.117,0.314
"P24","Lo votaría",0.048,0.079,0.042,0.004,0.1,0.044
"P24","Puede que lo vote",0.078,0.29,0.117,0.189,0.211,0.143
"P24","Nunca lo votaría",0.73,0.535,0.661,0.526,0.561,0.458
"P24","No sabe",0.144,0.096,0.18,0.281,0.128,0.355
"P25","Mauricio Macri por Juntos por el Cambio",0.011,0.45,0.025,0.012,0.017,0.032
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.143,0.044,0.062,0.166,0.127
"P25","Patricia Bullrich por Juntos por el Cambio",0.005,0.323,0.15,0.057,0.23,0.129
"P25","Facundo Manes por Juntos por el Cambio",0.008,0.022,0.034,0.081,0.139,0.094
"P25","Alberto Fernández por el Frente de Todos",0.174,0.013,0.025,0.126,0.051,0.066
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.756,0.005,0.002,0.039,0.014,0.064
"P25","Javier Milei por los liberales libertarios",0.003,0.016,0.686,0.082,0.016,0.024
"P25","Nicolás del Caño por la izquierda",0.002,0.001,0.003,0.413,0.003,0.011
"P25","Otros candidatos",0.015,0.007,0.008,0.061,0.235,0.07
"P25","Aún no lo tengo decidido",0.02,0.02,0.023,0.067,0.129,0.383
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.27,0.056,0.081,0.121,0.106
"P26","Patricia Bullrich por Juntos por el Cambio",0.018,0.553,0.138,0.077,0.275,0.141
"P26","Facundo Manes por Juntos por el Cambio",0.012,0.092,0.06,0.044,0.156,0.117
"P26","Wado de Pedro por el Frente de Todos",0.379,0.006,0.01,0.084,0.047,0.039
"P26","Sergio Massa por el Frente de Todos",0.377,0.013,0.014,0.111,0.136,0.102
"P26","Javier Milei por los liberales libertarios",0.037,0.033,0.611,0.077,0.029,0.036
"P26","Nicolás del Caño por la izquierda",0.014,0.004,0.083,0.299,0.01,0.009
"P26","Otros candidatos",0.032,0.005,0.006,0.121,0.126,0.067
"P26","Aún no lo tengo decidido",0.11,0.024,0.022,0.106,0.1,0.383
