"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.478,0.433,0.453,0.587,0.489,0.332
"P04","Realizo changas o trabajos de vez en cuando",0.159,0.187,0.284,0.217,0.19,0.211
"P04","No tengo trabajo",0.15,0.127,0.179,0.094,0.145,0.223
"P04","Soy jubilado o pensionado",0.213,0.253,0.084,0.102,0.176,0.234
"P05","1",0.263,0.364,0.387,0.16,0.259,0.267
"P05","2",0.055,0.072,0.094,0.11,0.088,0.082
"P05","3",0.025,0.066,0.092,0.031,0.05,0.053
"P05","4",0.054,0.097,0.095,0.065,0.066,0.061
"P05","5",0.139,0.215,0.187,0.163,0.198,0.237
"P05","6",0.06,0.041,0.016,0.026,0.061,0.053
"P05","7",0.117,0.042,0.028,0.117,0.07,0.073
"P05","8",0.08,0.023,0.016,0.151,0.042,0.025
"P05","9",0.207,0.08,0.085,0.177,0.166,0.149
"P06","1",0.426,0.162,0.132,0.33,0.281,0.338
"P06","2",0.068,0.052,0.027,0.125,0.05,0.024
"P06","3",0.074,0.028,0.018,0.1,0.059,0.075
"P06","4",0.045,0.028,0.016,0.057,0.065,0.058
"P06","5",0.149,0.201,0.166,0.206,0.219,0.221
"P06","6",0.035,0.059,0.045,0.037,0.069,0.064
"P06","7",0.039,0.101,0.087,0.032,0.045,0.042
"P06","8",0.02,0.102,0.11,0.047,0.053,0.023
"P06","9",0.144,0.267,0.399,0.066,0.159,0.155
"P07","1",0.534,0.263,0.212,0.65,0.402,0.373
"P07","2",0.036,0.047,0.033,0.042,0.031,0.032
"P07","3",0.04,0.032,0.012,0.023,0.043,0.027
"P07","4",0.017,0.022,0.01,0.003,0.022,0.016
"P07","5",0.068,0.095,0.12,0.028,0.135,0.124
"P07","6",0.015,0.025,0.042,0.005,0.029,0.043
"P07","7",0.023,0.046,0.051,0.017,0.026,0.025
"P07","8",0.022,0.049,0.067,0,0.021,0.026
"P07","9",0.245,0.421,0.453,0.232,0.291,0.334
"P09","Del Frente de Todos y el peronismo",0.75,0.114,0.048,0.218,0.351,0.309
"P09","De Juntos por el cambio",0.123,0.76,0.174,0.056,0.322,0.223
"P09","De los Liberales libertarios",0.016,0.046,0.676,0.065,0.054,0.049
"P09","De la Izquierda",0.018,0.006,0.012,0.391,0.031,0.029
"P09","No sabe",0.093,0.074,0.09,0.27,0.242,0.39
"P10","A Alberto Fernández",0.184,0.186,0.324,0.069,0.159,0.312
"P10","A Sergio Massa",0.312,0.324,0.112,0.075,0.06,0.023
"P10","A algún candidato del peronismo",0.112,0.283,0.33,0.067,0.223,0.14
"P10","A algún candidato del kirchnerismo",0.392,0.207,0.234,0.789,0.558,0.525
"P11","A Alberto Fernández",0.145,0.163,0.309,0.046,0.106,0.225
"P11","A Sergio Massa",0.193,0.209,0.128,0.02,0.032,0.039
"P11","A algún candidato del peronismo",0.073,0.284,0.357,0.123,0.178,0.125
"P11","A Cristina Fernández de Kirchner",0.589,0.344,0.206,0.811,0.684,0.611
"P12","A Horacio Rodriguez Larreta",0.256,0.252,0.156,0.171,0.152,0.245
"P12","A Mauricio Macri",0.278,0.346,0.256,0.636,0.304,0.271
"P12","A Patricia Bullrich",0.271,0.34,0.551,0,0.314,0.342
"P12","A Facundo Manes",0.108,0.029,0.026,0.193,0.137,0.111
"P12","A Gerardo Morales",0.087,0.033,0.011,0,0.093,0.031
"P13","Seguro lo votaria",0.202,0.145,0.475,0,0.145,0.148
"P13","Quizás lo votaría",0.262,0.367,0.389,0.829,0.289,0.493
"P13","Nunca lo votaría",0.536,0.488,0.136,0.171,0.566,0.359
"P14","Lo votaría",0.067,0.484,0.204,0.101,0.134,0.124
"P14","Puede que lo vote",0.072,0.279,0.347,0.081,0.175,0.133
"P14","Nunca lo votaría",0.801,0.184,0.36,0.727,0.595,0.566
"P14","No sabe",0.06,0.053,0.089,0.091,0.096,0.177
"P15","Lo votaría",0.358,0.07,0.04,0.014,0.052,0.051
"P15","Puede que lo vote",0.425,0.102,0.11,0.118,0.158,0.145
"P15","Nunca lo votaría",0.181,0.8,0.817,0.637,0.666,0.544
"P15","No sabe",0.036,0.028,0.033,0.231,0.124,0.26
"P16","Lo votaría",0.338,0.055,0.027,0.05,0.108,0.118
"P16","Puede que lo vote",0.373,0.076,0.048,0.207,0.157,0.136
"P16","Nunca lo votaría",0.23,0.854,0.894,0.526,0.639,0.585
"P16","No sabe",0.059,0.015,0.031,0.217,0.096,0.161
"P17","La votaría",0.68,0.076,0.032,0.32,0.323,0.286
"P17","Puede que la vote",0.116,0.034,0.025,0.174,0.063,0.088
"P17","Nunca la votaría",0.171,0.878,0.917,0.401,0.554,0.509
"P17","No sabe",0.033,0.012,0.026,0.105,0.06,0.117
"P18","Lo votaría",0.093,0.375,0.042,0.013,0.051,0.045
"P18","Puede que lo vote",0.104,0.422,0.268,0.135,0.211,0.218
"P18","Nunca lo votaría",0.756,0.16,0.608,0.759,0.645,0.525
"P18","No sabe",0.047,0.043,0.082,0.093,0.093,0.212
"P19","Lo votaría",0.06,0.133,0.041,0.025,0.107,0.049
"P19","Puede que lo vote",0.165,0.345,0.176,0.132,0.203,0.211
"P19","Nunca lo votaría",0.636,0.431,0.637,0.631,0.553,0.426
"P19","No sabe",0.139,0.091,0.146,0.212,0.137,0.314
"P20","La votaría",0.07,0.514,0.321,0.099,0.238,0.15
"P20","Puede que la vote",0.072,0.249,0.324,0.018,0.125,0.186
"P20","Nunca la votaría",0.822,0.189,0.298,0.833,0.565,0.479
"P20","No sabe",0.036,0.048,0.057,0.05,0.072,0.185
"P21","Lo votaría",0.061,0.106,0.712,0.06,0.051,0.054
"P21","Puede que lo vote",0.08,0.29,0.212,0.074,0.163,0.203
"P21","Nunca lo votaría",0.813,0.537,0.056,0.773,0.666,0.6
"P21","No sabe",0.046,0.067,0.02,0.093,0.12,0.143
"P22","La votaría",0.043,0.288,0.132,0.007,0.056,0.077
"P22","Puede que la vote",0.076,0.353,0.268,0.11,0.165,0.177
"P22","Nunca la votaría",0.814,0.278,0.493,0.73,0.627,0.517
"P22","No sabe",0.067,0.081,0.107,0.153,0.152,0.229
"P23","Lo votaría",0.295,0.067,0.025,0.179,0.136,0.069
"P23","Puede que lo vote",0.242,0.095,0.058,0.25,0.158,0.139
"P23","Nunca lo votaría",0.368,0.765,0.773,0.376,0.598,0.556
"P23","No sabe",0.095,0.073,0.144,0.195,0.108,0.236
"P24","Lo votaría",0.056,0.088,0.039,0.003,0.064,0.027
"P24","Puede que lo vote",0.093,0.303,0.12,0.088,0.188,0.124
"P24","Nunca lo votaría",0.714,0.49,0.688,0.667,0.599,0.554
"P24","No sabe",0.137,0.119,0.153,0.242,0.149,0.295
"P25","Mauricio Macri por Juntos por el Cambio",0.054,0.292,0.099,0.046,0.107,0.089
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.245,0.021,0.049,0.024,0.036
"P25","Patricia Bullrich por Juntos por el Cambio",0.044,0.278,0.174,0.027,0.191,0.111
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.035,0.011,0.039,0.104,0.056
"P25","Alberto Fernández por el Frente de Todos",0.161,0.026,0.016,0.027,0.085,0.084
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.605,0.07,0.023,0.266,0.281,0.248
"P25","Javier Milei por los liberales libertarios",0.005,0.006,0.625,0.011,0.012,0.025
"P25","Nicolás del Caño por la izquierda",0.004,0.001,0.003,0.357,0.004,0.001
"P25","Otros candidatos",0.04,0.011,0.009,0.056,0.147,0.047
"P25","Aún no lo tengo decidido",0.038,0.036,0.019,0.122,0.045,0.303
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.321,0.043,0.062,0.037,0.041
"P26","Patricia Bullrich por Juntos por el Cambio",0.055,0.443,0.218,0.06,0.256,0.159
"P26","Facundo Manes por Juntos por el Cambio",0.036,0.094,0.043,0.01,0.135,0.079
"P26","Wado de Pedro por el Frente de Todos",0.315,0.032,0.006,0.223,0.207,0.097
"P26","Sergio Massa por el Frente de Todos",0.462,0.06,0.01,0.02,0.06,0.086
"P26","Javier Milei por los liberales libertarios",0.019,0.016,0.584,0.07,0.026,0.036
"P26","Nicolás del Caño por la izquierda",0.004,0.001,0.074,0.298,0.011,0.01
"P26","Otros candidatos",0.016,0.007,0.003,0.114,0.159,0.046
"P26","Aún no lo tengo decidido",0.042,0.026,0.019,0.143,0.109,0.446
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.754,0.092,0.025,0.302,0.355,0.299
"P27","Mauricio Macri por Juntos por el Cambio",0.094,0.665,0.167,0.065,0.165,0.126
"P27","Javier Milei por los liberales libertarios",0.023,0.058,0.76,0.024,0.039,0.052
"P27","Nicolás del Caño por la izquierda",0.013,0.003,0.01,0.464,0.016,0.013
"P27","Otro candidato",0.057,0.122,0.016,0.044,0.326,0.058
"P27","Aún no lo tengo decidido",0.059,0.06,0.022,0.101,0.099,0.452
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.127,0.75,0.037,0.01,0.061,0.094
"P29","Wado de Pedro por el Frente de Todos",0.616,0.105,0.014,0.273,0.246,0.131
"P29","Javier Milei por los liberales libertarios",0.033,0.047,0.897,0.087,0.036,0.044
"P29","Nicolás del Caño por la izquierda",0.021,0.001,0.002,0.472,0.008,0.018
"P29","Otro candidato",0.105,0.051,0.019,0.065,0.531,0.067
"P29","Aún no lo tengo decidido",0.098,0.046,0.031,0.093,0.118,0.646
"P31","Sergio Massa por el Frente de Todos",0.781,0.142,0.017,0.052,0.045,0.055
"P31","Patricia Bullrich por Juntos por el Cambio",0.148,0.703,0.212,0.029,0.27,0.185
"P31","Javier Milei por los liberales libertarios",0.011,0.052,0.732,0.088,0.026,0.036
"P31","Nicolás del Caño por la izquierda",0.006,0.006,0.007,0.695,0.019,0.009
"P31","Otro candidato",0.03,0.048,0.012,0.065,0.556,0.052
"P31","Aún no lo tengo decidido",0.024,0.049,0.02,0.071,0.084,0.663
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.747,0.147,0.025,0.247,0.308,0.262
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.127,0.784,0.026,0.008,0.087,0.093
"P35","Javier Milei por los liberales libertarios",0.032,0.028,0.909,0.111,0.035,0.034
"P35","Nicolás del Caño por la izquierda",0.013,0.002,0,0.515,0.004,0.002
"P35","Otro candidato",0.053,0.022,0.019,0.021,0.504,0.071
"P35","Aún no lo tengo decidido",0.028,0.017,0.021,0.098,0.062,0.538
"P36","Sergio Massa por el Frente de Todos",0.8,0.11,0.015,0.086,0.058,0.102
"P36","Mauricio Macri por Juntos por el Cambio",0.092,0.693,0.151,0.091,0.181,0.143
"P36","Javier Milei por los liberales libertarios",0.03,0.049,0.794,0.022,0.029,0.052
"P36","Nicolás del Caño por la izquierda",0.01,0.008,0.002,0.669,0.018,0.01
"P36","Otro candidato",0.036,0.092,0.017,0.054,0.646,0.071
"P36","Aún no lo tengo decidido",0.032,0.048,0.021,0.078,0.068,0.622
"P37","Wado de Pedro por el Frente de Todos",0.681,0.086,0.009,0.299,0.238,0.132
"P37","Mauricio Macri por Juntos por el Cambio",0.11,0.711,0.16,0.07,0.177,0.145
"P37","Javier Milei por los liberales libertarios",0.023,0.051,0.792,0,0.034,0.056
