"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P12","A Gerardo Morales",0.141,0.018,0.064,0.045,0.152,0.079
"P13","Seguro lo votaria",0.258,0.148,0.608,0.032,0.08,0.122
"P13","Quizás lo votaría",0.161,0.395,0.23,0.749,0.289,0.402
"P13","Nunca lo votaría",0.581,0.457,0.162,0.219,0.631,0.476
"P14","Lo votaría",0.029,0.529,0.153,0.064,0.056,0.088
"P14","Puede que lo vote",0.021,0.31,0.335,0.117,0.197,0.148
"P14","Nunca lo votaría",0.873,0.126,0.417,0.696,0.639,0.588
"P14","No sabe",0.077,0.035,0.095,0.123,0.108,0.176
"P15","Lo votaría",0.27,0.063,0.038,0.124,0.087,0.134
"P15","Puede que lo vote",0.416,0.085,0.114,0.169,0.221,0.141
"P15","Nunca lo votaría",0.243,0.835,0.816,0.502,0.555,0.498
"P15","No sabe",0.071,0.017,0.032,0.205,0.137,0.227
"P16","Lo votaría",0.307,0.019,0.028,0.111,0.125,0.175
"P16","Puede que lo vote",0.42,0.027,0.038,0.304,0.173,0.181
"P16","Nunca lo votaría",0.201,0.947,0.899,0.454,0.598,0.523
"P16","No sabe",0.072,0.007,0.035,0.131,0.104,0.121
"P17","La votaría",0.797,0.016,0.029,0.26,0.252,0.303
"P17","Puede que la vote",0.111,0.006,0.02,0.254,0.092,0.118
"P17","Nunca la votaría",0.058,0.976,0.922,0.378,0.597,0.448
"P17","No sabe",0.034,0.002,0.029,0.108,0.059,0.131
"P18","Lo votaría",0.099,0.239,0.081,0.088,0.124,0.079
"P18","Puede que lo vote",0.05,0.446,0.233,0.089,0.256,0.215
"P18","Nunca lo votaría",0.82,0.272,0.599,0.696,0.494,0.511
"P18","No sabe",0.031,0.043,0.087,0.127,0.126,0.195
"P19","Lo votaría",0.035,0.099,0.057,0.084,0.155,0.056
"P19","Puede que lo vote",0.131,0.339,0.189,0.189,0.218,0.229
"P19","Nunca lo votaría",0.721,0.491,0.596,0.57,0.446,0.388
"P19","No sabe",0.113,0.071,0.158,0.157,0.181,0.327
"P20","La votaría",0.022,0.673,0.181,0.095,0.052,0.07
"P20","Puede que la vote",0.039,0.246,0.397,0.033,0.171,0.133
"P20","Nunca la votaría",0.909,0.069,0.354,0.799,0.678,0.585
"P20","No sabe",0.03,0.012,0.068,0.073,0.099,0.212
"P21","Lo votaría",0.022,0.186,0.759,0.008,0.044,0.042
"P21","Puede que lo vote",0.03,0.346,0.175,0.149,0.161,0.141
"P21","Nunca lo votaría",0.916,0.418,0.048,0.781,0.691,0.596
"P21","No sabe",0.032,0.05,0.018,0.062,0.104,0.221
"P22","La votaría",0.021,0.26,0.153,0.031,0.051,0.084
"P22","Puede que la vote",0.031,0.372,0.25,0.154,0.179,0.146
"P22","Nunca la votaría",0.91,0.271,0.496,0.759,0.615,0.512
"P22","No sabe",0.038,0.097,0.101,0.056,0.155,0.258
"P23","Lo votaría",0.44,0.034,0.03,0.063,0.023,0.041
"P23","Puede que lo vote",0.282,0.084,0.056,0.229,0.136,0.134
"P23","Nunca lo votaría",0.206,0.844,0.748,0.501,0.66,0.563
