"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.463,0.422,0.408,0.508,0.481
"P04","Realizo changas o trabajos de vez en cuando",0.213,0.193,0.214,0.169,0.243
"P04","No tengo trabajo",0.11,0.15,0.152,0.144,0.141
"P04","Soy jubilado o pensionado",0.214,0.235,0.226,0.179,0.135
"P05","1",0.362,0.389,0.413,0.247,0.402
"P05","2",0.069,0.089,0.059,0.038,0.026
"P05","3",0.059,0.088,0.089,0.07,0.084
"P05","4",0.106,0.077,0.081,0.085,0.064
"P05","5",0.225,0.148,0.201,0.308,0.077
"P05","6",0.044,0.03,0.04,0.045,0.055
"P05","7",0.029,0.034,0.021,0.06,0.084
"P05","8",0.018,0.02,0.024,0.072,0.032
"P05","9",0.088,0.125,0.072,0.075,0.176
"P06","1",0.242,0.14,0.159,0.203,0.35
"P06","2",0.054,0.05,0.024,0.016,0
"P06","3",0.018,0.035,0.021,0.049,0.028
"P06","4",0.036,0.034,0.018,0.048,0.023
"P06","5",0.2,0.154,0.216,0.34,0.263
"P06","6",0.083,0.043,0.056,0.067,0.034
"P06","7",0.089,0.076,0.106,0.058,0.093
"P06","8",0.057,0.086,0.088,0.095,0.072
"P06","9",0.221,0.382,0.312,0.124,0.137
"P07","1",0.309,0.218,0.222,0.414,0.363
"P07","2",0.05,0.026,0.04,0.07,0.041
"P07","3",0.033,0.032,0.033,0.033,0.075
"P07","4",0.023,0.011,0.023,0.009,0.036
"P07","5",0.095,0.111,0.121,0.179,0.125
"P07","6",0.032,0.027,0.03,0.069,0.019
"P07","7",0.063,0.024,0.057,0.014,0.013
"P07","8",0.048,0.046,0.048,0.02,0.072
"P07","9",0.347,0.505,0.426,0.192,0.256
"P13","Seguro lo votaria",0.272,0.179,0.202,0.133,0.16
"P13","Quizás lo votaría",0.332,0.429,0.335,0.282,0.235
"P13","Nunca lo votaría",0.396,0.392,0.463,0.585,0.605
"P14","Lo votaría",0.345,0.764,0.471,0.144,0.19
