"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.449,0.414,0.465,0.455,0.366
"P04","Realizo changas o trabajos de vez en cuando",0.216,0.195,0.251,0.282,0.245
"P04","No tengo trabajo",0.153,0.142,0.193,0.15,0.229
"P04","Soy jubilado o pensionado",0.182,0.249,0.091,0.113,0.16
"P05","1",0.243,0.377,0.35,0.114,0.26
"P05","2",0.069,0.067,0.097,0.072,0.071
"P05","3",0.025,0.08,0.089,0.044,0.044
"P05","4",0.047,0.09,0.104,0.044,0.059
"P05","5",0.136,0.188,0.204,0.113,0.3
"P05","6",0.055,0.036,0.019,0.052,0.045
"P05","7",0.117,0.037,0.036,0.119,0.043
"P05","8",0.074,0.025,0.018,0.11,0.031
"P05","9",0.234,0.1,0.083,0.332,0.147
"P06","1",0.415,0.192,0.111,0.287,0.29
"P06","2",0.072,0.041,0.025,0.124,0.031
"P06","3",0.073,0.028,0.019,0.068,0.048
"P06","4",0.054,0.031,0.028,0.062,0.037
"P06","5",0.153,0.197,0.156,0.159,0.279
"P06","6",0.037,0.059,0.059,0.03,0.044
"P06","7",0.034,0.087,0.075,0.025,0.047
"P06","8",0.027,0.08,0.138,0.031,0.027
"P06","9",0.135,0.285,0.389,0.214,0.197
"P07","1",0.558,0.269,0.193,0.547,0.345
"P07","2",0.048,0.038,0.029,0.032,0.027
"P07","3",0.038,0.034,0.021,0.011,0.023
"P07","4",0.014,0.021,0.009,0.014,0.016
"P07","5",0.069,0.113,0.128,0.052,0.119
"P07","6",0.014,0.031,0.052,0.016,0.021
"P07","7",0.016,0.043,0.048,0.033,0.026
"P07","8",0.013,0.048,0.072,0.037,0.02
"P07","9",0.23,0.403,0.448,0.258,0.403
"P14","Lo votaría",0.058,0.497,0.133,0.114,0.056
"P14","Puede que lo vote",0.065,0.279,0.357,0.067,0.162
"P14","Nunca lo votaría",0.822,0.179,0.419,0.668,0.528
"P14","No sabe",0.055,0.045,0.091,0.151,0.254
"P15","Lo votaría",0.27,0.088,0.038,0.112,0.065
"P15","Puede que lo vote",0.357,0.094,0.082,0.15,0.172
"P15","Nunca lo votaría",0.287,0.787,0.848,0.629,0.49
"P15","No sabe",0.086,0.031,0.032,0.109,0.273
"P16","Lo votaría",0.337,0.068,0.009,0.069,0.091
"P16","Puede que lo vote",0.366,0.043,0.034,0.196,0.113
"P16","Nunca lo votaría",0.204,0.877,0.919,0.602,0.58
"P16","No sabe",0.093,0.012,0.038,0.133,0.216
"P17","La votaría",0.738,0.069,0.014,0.216,0.158
"P17","Puede que la vote",0.119,0.022,0.025,0.16,0.078
"P17","Nunca la votaría",0.108,0.896,0.93,0.534,0.607
"P17","No sabe",0.035,0.013,0.031,0.09,0.157
"P18","Lo votaría",0.089,0.265,0.062,0.064,0.053
"P18","Puede que lo vote",0.073,0.414,0.251,0.128,0.212
"P18","Nunca lo votaría",0.784,0.27,0.613,0.741,0.453
"P18","No sabe",0.054,0.051,0.074,0.067,0.282
"P19","Lo votaría",0.038,0.123,0.063,0.056,0.056
"P19","Puede que lo vote",0.138,0.315,0.184,0.23,0.183
"P19","Nunca lo votaría",0.691,0.466,0.63,0.563,0.377
"P19","No sabe",0.133,0.096,0.123,0.151,0.384
"P20","La votaría",0.054,0.537,0.258,0.062,0.084
"P20","Puede que la vote",0.047,0.258,0.363,0.126,0.147
"P20","Nunca la votaría",0.859,0.164,0.325,0.761,0.499
"P20","No sabe",0.04,0.041,0.054,0.051,0.27
"P21","Lo votaría",0.049,0.167,0.715,0.095,0.094
"P21","Puede que lo vote",0.065,0.313,0.191,0.136,0.167
"P21","Nunca lo votaría",0.847,0.448,0.075,0.734,0.515
"P21","No sabe",0.039,0.072,0.019,0.035,0.224
"P22","La votaría",0.038,0.255,0.12,0.024,0.052
"P22","Puede que la vote",0.06,0.369,0.231,0.117,0.154
"P22","Nunca la votaría",0.843,0.284,0.534,0.761,0.492
"P22","No sabe",0.059,0.092,0.115,0.098,0.302
"P23","Lo votaría",0.304,0.041,0.022,0.084,0.03
"P23","Puede que lo vote",0.239,0.083,0.051,0.176,0.103
"P23","Nunca lo votaría",0.378,0.795,0.786,0.643,0.521
"P23","No sabe",0.079,0.081,0.141,0.097,0.346
"P24","Lo votaría",0.057,0.089,0.039,0.043,0.023
"P24","Puede que lo vote",0.099,0.28,0.109,0.102,0.095
"P24","Nunca lo votaría",0.727,0.514,0.697,0.77,0.491
"P24","No sabe",0.117,0.117,0.155,0.085,0.391
"P25","Mauricio Macri por Juntos por el Cambio",0.032,0.322,0.059,0.007,0.028
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.153,0.043,0.054,0.1
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.316,0.153,0.042,0.085
"P25","Facundo Manes por Juntos por el Cambio",0.015,0.056,0.023,0.06,0.076
"P25","Alberto Fernández por el Frente de Todos",0.168,0.036,0.013,0.047,0.072
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.646,0.024,0.017,0.222,0.112
"P25","Javier Milei por los liberales libertarios",0.01,0.037,0.648,0.071,0.098
"P25","Nicolás del Caño por la izquierda",0.006,0.002,0.003,0.255,0.015
"P25","Otros candidatos",0.044,0.022,0.02,0.133,0.094
"P25","Aún no lo tengo decidido",0.034,0.032,0.021,0.109,0.32
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.244,0.053,0.027,0.097
"P26","Patricia Bullrich por Juntos por el Cambio",0.031,0.49,0.17,0.067,0.116
"P26","Facundo Manes por Juntos por el Cambio",0.027,0.118,0.041,0.057,0.082
"P26","Wado de Pedro por el Frente de Todos",0.345,0.022,0.01,0.127,0.048
"P26","Sergio Massa por el Frente de Todos",0.372,0.024,0.015,0.086,0.127
"P26","Javier Milei por los liberales libertarios",0.036,0.037,0.606,0.079,0.108
"P26","Nicolás del Caño por la izquierda",0.015,0.009,0.062,0.249,0.03
"P26","Otros candidatos",0.043,0.013,0.013,0.168,0.074
"P26","Aún no lo tengo decidido",0.1,0.043,0.03,0.14,0.318
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.783,0.05,0.019,0.175,0.193
"P27","Mauricio Macri por Juntos por el Cambio",0.051,0.646,0.106,0.076,0.088
"P27","Javier Milei por los liberales libertarios",0.026,0.098,0.784,0.051,0.138
"P27","Nicolás del Caño por la izquierda",0.016,0.005,0.009,0.363,0.041
"P27","Otro candidato",0.06,0.125,0.043,0.121,0.192
"P27","Aún no lo tengo decidido",0.064,0.076,0.039,0.214,0.348
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.546,0.062,0.065,0.158
"P29","Wado de Pedro por el Frente de Todos",0.588,0.095,0.01,0.131,0.084
"P29","Javier Milei por los liberales libertarios",0.045,0.13,0.85,0.115,0.145
"P29","Nicolás del Caño por la izquierda",0.013,0.005,0.003,0.368,0.042
"P29","Otro candidato",0.118,0.131,0.038,0.156,0.192
"P29","Aún no lo tengo decidido",0.128,0.093,0.037,0.165,0.379
"P31","Sergio Massa por el Frente de Todos",0.593,0.064,0.025,0.142,0.172
"P31","Patricia Bullrich por Juntos por el Cambio",0.074,0.706,0.191,0.07,0.177
"P31","Javier Milei por los liberales libertarios",0.029,0.092,0.731,0.078,0.127
"P31","Nicolás del Caño por la izquierda",0.027,0.005,0.002,0.449,0.039
"P31","Otro candidato",0.149,0.074,0.016,0.142,0.161
"P31","Aún no lo tengo decidido",0.128,0.059,0.035,0.119,0.324
"P33","Sergio Massa por el Frente de Todos",0.577,0.086,0.02,0.15,0.148
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.59,0.065,0.054,0.131
"P33","Javier Milei por los liberales libertarios",0.036,0.119,0.836,0.1,0.14
"P33","Nicolás del Caño por la izquierda",0.022,0.005,0.011,0.431,0.056
"P33","Otro candidato",0.146,0.121,0.037,0.141,0.209
"P33","Aún no lo tengo decidido",0.121,0.079,0.031,0.124,0.316
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.781,0.079,0.014,0.22,0.17
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.608,0.068,0.043,0.168
"P35","Javier Milei por los liberales libertarios",0.03,0.143,0.849,0.046,0.132
"P35","Nicolás del Caño por la izquierda",0.009,0.005,0.002,0.388,0.034
"P35","Otro candidato",0.058,0.105,0.039,0.218,0.194
"P35","Aún no lo tengo decidido",0.052,0.06,0.028,0.085,0.302
"P36","Sergio Massa por el Frente de Todos",0.653,0.053,0.027,0.16,0.136
"P36","Mauricio Macri por Juntos por el Cambio",0.054,0.667,0.108,0.062,0.12
"P36","Javier Milei por los liberales libertarios",0.027,0.107,0.797,0.052,0.125
"P36","Nicolás del Caño por la izquierda",0.021,0.006,0.005,0.48,0.042
"P36","Otro candidato",0.144,0.108,0.047,0.153,0.231
"P36","Aún no lo tengo decidido",0.101,0.059,0.016,0.093,0.346
"P37","Wado de Pedro por el Frente de Todos",0.671,0.038,0.014,0.149,0.095
"P37","Mauricio Macri por Juntos por el Cambio",0.045,0.7,0.108,0.061,0.129
"P37","Javier Milei por los liberales libertarios",0.035,0.096,0.806,0.11,0.109
"P37","Nicolás del Caño por la izquierda",0.02,0.009,0.004,0.358,0.031
"P37","Otro candidato",0.111,0.108,0.036,0.194,0.256
"P37","Aún no lo tengo decidido",0.118,0.049,0.032,0.128,0.38
"P38","Wado de Pedro por el Frente de Todos",0.685,0.034,0.013,0.149,0.095
"P38","Patricia Bullrich por Juntos por el Cambio",0.046,0.745,0.214,0.087,0.182
"P38","Javier Milei por los liberales libertarios",0.023,0.075,0.724,0.099,0.112
"P38","Nicolás del Caño por la izquierda",0.014,0.008,0.003,0.418,0.03
"P38","Otro candidato",0.12,0.081,0.02,0.147,0.243
"P38","Aún no lo tengo decidido",0.112,0.057,0.026,0.1,0.338
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.813,0.036,0.013,0.307,0.144
"P39","Patricia Bullrich por Juntos por el Cambio",0.052,0.76,0.213,0.045,0.216
"P39","Javier Milei por los liberales libertarios",0.019,0.071,0.737,0.104,0.106
"P39","Nicolás del Caño por la izquierda",0.013,0.009,0.005,0.322,0.027
"P39","Otro candidato",0.051,0.073,0.017,0.122,0.233
"P39","Aún no lo tengo decidido",0.052,0.051,0.015,0.1,0.274
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.8,0.123,0.042,0.553,0.22
"P40","Mauricio Macri por Juntos por el Cambio",0.153,0.751,0.534,0.071,0.205
"P40","No sabe",0.047,0.126,0.424,0.376,0.575
"P41","Wado de Pedro por el Frente de Todos",0.749,0.038,0.029,0.414,0.146
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.789,0.407,0.093,0.283
"P41","No sabe",0.177,0.173,0.564,0.493,0.571
"P42","Sergio Massa por el Frente de Todos",0.728,0.037,0.045,0.365,0.225
"P42","Patricia Bullrich por Juntos por el Cambio",0.067,0.858,0.621,0.061,0.277
"P42","No sabe",0.205,0.105,0.334,0.574,0.498
"P43","Sergio Massa por el Frente de Todos",0.762,0.041,0.042,0.338,0.237
"P43","Mauricio Macri por Juntos por el Cambio",0.071,0.851,0.591,0.096,0.227
"P43","No sabe",0.167,0.108,0.367,0.566,0.536
"P44","Sergio Massa por el Frente de Todos",0.768,0.04,0.014,0.368,0.21
"P44","Javier Milei por los liberales libertarios",0.062,0.534,0.871,0.135,0.231
"P44","No sabe",0.17,0.426,0.115,0.497,0.559
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.394,0.349,0.046,0.235,0.26
"P45","Javier Milei por los liberales libertarios",0.074,0.357,0.872,0.142,0.19
"P45","No sabe",0.532,0.294,0.082,0.623,0.55
"P46","Patricia Bullrich por Juntos por el Cambio",0.113,0.823,0.579,0.077,0.296
