"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.404,0.422,0.502,0.534,0.446,0.438,0.538,0.481,0.342
"P04","Realizo changas o trabajos de vez en cuando",0.215,0.197,0.18,0.132,0.191,0.318,0.256,0.25,0.206
"P04","No tengo trabajo",0.121,0.147,0.107,0.113,0.195,0.183,0.144,0.136,0.279
"P04","Soy jubilado o pensionado",0.26,0.234,0.211,0.221,0.168,0.061,0.062,0.133,0.173
"P05","1",0.328,0.408,0.258,0.167,0.272,0.347,0.331,0.279,0.275
"P05","2",0.07,0.082,0.081,0.065,0.058,0.094,0.112,0.051,0.047
"P05","3",0.059,0.081,0.055,0.024,0.016,0.083,0.068,0.047,0.064
"P05","4",0.09,0.099,0.099,0.034,0.042,0.09,0.067,0.076,0.06
"P05","5",0.261,0.176,0.293,0.095,0.141,0.203,0.099,0.304,0.263
"P05","6",0.043,0.031,0.04,0.07,0.057,0.023,0.025,0.058,0.06
"P05","7",0.04,0.023,0.049,0.155,0.11,0.039,0.069,0.036,0.061
"P05","8",0.009,0.024,0.036,0.118,0.042,0.026,0.047,0.058,0.043
"P05","9",0.1,0.076,0.089,0.272,0.262,0.095,0.182,0.091,0.127
"P06","1",0.191,0.131,0.197,0.489,0.439,0.133,0.193,0.293,0.347
"P06","2",0.048,0.033,0.035,0.102,0.059,0.022,0.086,0.071,0.032
"P06","3",0.038,0.026,0.055,0.096,0.065,0.018,0.035,0.042,0.046
"P06","4",0.031,0.033,0.057,0.049,0.036,0.016,0.006,0.079,0.056
"P06","5",0.2,0.193,0.272,0.11,0.142,0.169,0.155,0.294,0.235
"P06","6",0.065,0.051,0.065,0.028,0.051,0.059,0.062,0.027,0.065
"P06","7",0.089,0.093,0.091,0.013,0.038,0.08,0.078,0.034,0.043
"P06","8",0.069,0.109,0.072,0.028,0.025,0.114,0.093,0.02,0.025
"P06","9",0.269,0.331,0.156,0.085,0.145,0.389,0.292,0.14,0.151
"P07","1",0.274,0.218,0.227,0.71,0.499,0.253,0.417,0.29,0.413
"P07","2",0.043,0.024,0.042,0.038,0.06,0.034,0.018,0.025,0.027
"P07","3",0.022,0.023,0.063,0.03,0.041,0.022,0,0.044,0.021
"P07","4",0.018,0.024,0.038,0.016,0.007,0.01,0.015,0.013,0.016
"P07","5",0.086,0.115,0.175,0.051,0.068,0.118,0.131,0.152,0.108
"P07","6",0.038,0.035,0.023,0.003,0.017,0.042,0.04,0.02,0.038
"P07","7",0.047,0.042,0.081,0.008,0.01,0.045,0.038,0.014,0.018
"P07","8",0.038,0.052,0.039,0.01,0.016,0.065,0.066,0.055,0.02
"P07","9",0.434,0.467,0.312,0.134,0.282,0.411,0.275,0.387,0.339
"P09","Del Frente de Todos y el peronismo",0.08,0.043,0.116,0.834,0.768,0.07,0.143,0.354,0.286
"P09","De Juntos por el cambio",0.69,0.719,0.555,0.058,0.054,0.078,0.089,0.113,0.132
"P09","De los Liberales libertarios",0.086,0.143,0.111,0.015,0.019,0.724,0.371,0.067,0.052
"P09","De la Izquierda",0.007,0.009,0.025,0.031,0.018,0.015,0.241,0.137,0.04
"P09","No sabe",0.137,0.086,0.193,0.062,0.141,0.113,0.156,0.329,0.49
"P10","A Alberto Fernández",0.259,0.273,0.169,0.144,0.212,0.499,0.38,0.199,0.388
"P10","A Sergio Massa",0.228,0.065,0.158,0.101,0.424,0.157,0.039,0.099,0.068
"P10","A algún candidato del peronismo",0.503,0.534,0.324,0.1,0.107,0.151,0.108,0.363,0.166
"P10","A algún candidato del kirchnerismo",0.01,0.128,0.349,0.655,0.257,0.193,0.473,0.339,0.378
"P11","A Alberto Fernández",0.124,0.134,0.3,0.096,0.198,0.368,0.379,0.185,0.303
"P11","A Sergio Massa",0.249,0.169,0.081,0.037,0.281,0.135,0,0.083,0.026
"P11","A algún candidato del peronismo",0.502,0.569,0.324,0.058,0.078,0.123,0.253,0.208,0.18
"P11","A Cristina Fernández de Kirchner",0.125,0.128,0.295,0.809,0.443,0.374,0.368,0.524,0.491
"P12","A Horacio Rodriguez Larreta",0.491,0.119,0.094,0.3,0.414,0.34,0.118,0.258,0.252
"P12","A Mauricio Macri",0.376,0.36,0.115,0.156,0.092,0.138,0.138,0.158,0.427
"P12","A Patricia Bullrich",0.072,0.504,0.417,0.014,0.051,0.301,0.744,0.204,0.18
"P12","A Facundo Manes",0.016,0.005,0.278,0.342,0.215,0.094,0,0.077,0.099
"P12","A Gerardo Morales",0.045,0.012,0.096,0.188,0.228,0.127,0,0.303,0.042
"P13","Seguro lo votaria",0.195,0.192,0.12,0.046,0.142,0.617,0.442,0.167,0.116
"P13","Quizás lo votaría",0.402,0.391,0.25,0.145,0.111,0.205,0.131,0.378,0.444
"P13","Nunca lo votaría",0.403,0.417,0.63,0.809,0.747,0.178,0.427,0.455,0.44
"P14","Lo votaría",0.451,0.498,0.192,0.028,0.013,0.129,0.09,0.11,0.059
"P14","Puede que lo vote",0.293,0.299,0.346,0.032,0.056,0.348,0.222,0.069,0.092
"P14","Nunca lo votaría",0.187,0.153,0.371,0.872,0.875,0.422,0.643,0.665,0.625
"P14","No sabe",0.069,0.05,0.091,0.068,0.056,0.101,0.045,0.156,0.224
"P15","Lo votaría",0.124,0.027,0.057,0.187,0.418,0.034,0.061,0.119,0.043
"P15","Puede que lo vote",0.097,0.073,0.179,0.437,0.351,0.113,0.158,0.19,0.154
"P15","Nunca lo votaría",0.716,0.867,0.68,0.265,0.196,0.812,0.678,0.522,0.544
"P15","No sabe",0.063,0.033,0.084,0.111,0.035,0.041,0.103,0.169,0.259
"P16","Lo votaría",0.04,0.031,0.047,0.24,0.387,0.046,0.119,0.182,0.154
"P16","Puede que lo vote",0.065,0.023,0.044,0.434,0.376,0.075,0.099,0.137,0.131
"P16","Nunca lo votaría",0.861,0.936,0.86,0.209,0.175,0.839,0.713,0.48,0.526
"P16","No sabe",0.034,0.01,0.049,0.117,0.062,0.04,0.069,0.201,0.189
"P17","La votaría",0.047,0.029,0.06,0.81,0.646,0.078,0.186,0.36,0.279
"P17","Puede que la vote",0.027,0.007,0.038,0.096,0.165,0.025,0.103,0.092,0.13
"P17","Nunca la votaría",0.905,0.958,0.88,0.061,0.137,0.864,0.668,0.429,0.456
"P17","No sabe",0.021,0.006,0.022,0.033,0.052,0.033,0.043,0.119,0.135
"P18","Lo votaría",0.461,0.158,0.132,0.093,0.088,0.058,0.077,0.049,0.019
"P18","Puede que lo vote",0.307,0.475,0.385,0.046,0.11,0.232,0.13,0.175,0.123
"P18","Nunca lo votaría",0.187,0.309,0.405,0.837,0.755,0.602,0.686,0.616,0.606
"P18","No sabe",0.045,0.058,0.078,0.024,0.047,0.108,0.107,0.16,0.252
"P19","Lo votaría",0.135,0.068,0.323,0.056,0.04,0.043,0.058,0.044,0.014
"P19","Puede que lo vote",0.343,0.313,0.342,0.114,0.129,0.169,0.128,0.172,0.151
"P19","Nunca lo votaría",0.367,0.533,0.282,0.741,0.651,0.62,0.683,0.569,0.477
"P19","No sabe",0.155,0.086,0.053,0.089,0.18,0.168,0.131,0.215,0.358
"P20","La votaría",0.271,0.733,0.377,0.032,0.025,0.158,0.142,0.068,0.049
"P20","Puede que la vote",0.377,0.189,0.267,0.042,0.021,0.357,0.275,0.122,0.114
"P20","Nunca la votaría",0.258,0.063,0.309,0.904,0.885,0.423,0.522,0.664,0.605
"P20","No sabe",0.094,0.015,0.047,0.022,0.069,0.062,0.061,0.146,0.232
"P21","Lo votaría",0.143,0.197,0.224,0.033,0.027,0.749,0.375,0.074,0.05
"P21","Puede que lo vote",0.276,0.356,0.25,0.026,0.069,0.13,0.141,0.175,0.134
"P21","Nunca lo votaría",0.48,0.381,0.451,0.909,0.849,0.104,0.439,0.608,0.643
"P21","No sabe",0.101,0.066,0.075,0.032,0.055,0.017,0.045,0.143,0.173
"P22","La votaría",0.31,0.211,0.158,0.029,0.024,0.114,0.148,0.113,0.024
"P22","Puede que la vote",0.301,0.386,0.312,0.041,0.039,0.228,0.124,0.145,0.128
"P22","Nunca la votaría",0.269,0.303,0.411,0.894,0.864,0.535,0.585,0.561,0.608
"P22","No sabe",0.12,0.1,0.119,0.036,0.073,0.123,0.143,0.181,0.24
"P23","Lo votaría",0.076,0.019,0.038,0.57,0.143,0.028,0.062,0.061,0.021
"P23","Puede que lo vote",0.083,0.068,0.137,0.21,0.259,0.06,0.107,0.185,0.147
"P23","Nunca lo votaría",0.706,0.856,0.735,0.176,0.457,0.73,0.648,0.529,0.552
"P23","No sabe",0.135,0.057,0.09,0.044,0.141,0.182,0.183,0.225,0.28
"P24","Lo votaría",0.086,0.044,0.167,0.067,0.045,0.042,0.038,0.071,0.012
"P24","Puede que lo vote",0.239,0.294,0.243,0.065,0.109,0.094,0.059,0.151,0.067
"P24","Nunca lo votaría",0.495,0.567,0.436,0.794,0.664,0.684,0.737,0.557,0.582
"P24","No sabe",0.18,0.095,0.154,0.074,0.182,0.18,0.166,0.221,0.339
"P25","Mauricio Macri por Juntos por el Cambio",0.395,0.306,0.046,0.003,0.01,0.042,0.033,0.027,0.031
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.451,0.1,0.02,0.015,0.009,0.01,0,0.042,0.018
"P25","Patricia Bullrich por Juntos por el Cambio",0.028,0.51,0.425,0.008,0.003,0.029,0.003,0.009,0.023
"P25","Facundo Manes por Juntos por el Cambio",0.014,0.006,0.376,0.037,0.013,0.027,0.009,0.008,0.011
"P25","Alberto Fernández por el Frente de Todos",0.028,0.01,0.01,0.117,0.228,0.025,0.077,0.134,0.109
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.022,0.003,0.033,0.752,0.607,0.049,0.096,0.143,0.249
"P25","Javier Milei por los liberales libertarios",0.009,0.028,0.019,0.004,0.007,0.787,0.546,0.03,0.036
"P25","Nicolás del Caño por la izquierda",0,0,0.002,0.003,0.006,0.003,0.194,0.1,0.013
"P25","Otros candidatos",0.017,0.008,0.026,0.042,0.056,0.004,0.002,0.402,0.091
"P25","Aún no lo tengo decidido",0.036,0.029,0.043,0.019,0.061,0.024,0.04,0.105,0.419
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.054,0.024,0.051,0.883,0.765,0.07,0.131,0.271,0.329
"P27","Mauricio Macri por Juntos por el Cambio",0.62,0.648,0.346,0.013,0.024,0.055,0.035,0.036,0.063
"P27","Javier Milei por los liberales libertarios",0.101,0.127,0.179,0.016,0.02,0.818,0.539,0.037,0.047
"P27","Nicolás del Caño por la izquierda",0.017,0.008,0.015,0.016,0.019,0.012,0.231,0.084,0.026
"P27","Otro candidato",0.106,0.123,0.224,0.037,0.094,0.019,0.033,0.36,0.102
"P27","Aún no lo tengo decidido",0.102,0.07,0.185,0.035,0.078,0.026,0.031,0.212,0.433
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.728,0.461,0.29,0.07,0.127,0.03,0.036,0.044,0.065
