"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.443,0.431,0.455,0.479,0.359,0.488,0.526,0.403,0.455,0.463,0.463,0.426,0.385,0.44,0.159,0.71,0.344
"Patricia Bullrich","Neutra",0.132,0.131,0.132,0.159,0.156,0.107,0.093,0.148,0.14,0.109,0.132,0.149,0.103,0.129,0.1,0.119,0.226
"Patricia Bullrich","Negativa",0.408,0.422,0.395,0.322,0.471,0.392,0.368,0.43,0.378,0.423,0.394,0.396,0.499,0.412,0.728,0.167,0.368
"Patricia Bullrich","No sabe",0.017,0.016,0.018,0.04,0.014,0.013,0.013,0.019,0.027,0.005,0.011,0.029,0.013,0.019,0.013,0.004,0.062
"Maria Eugenia Vidal","Positiva",0.381,0.356,0.406,0.308,0.33,0.431,0.481,0.387,0.376,0.383,0.387,0.42,0.322,0.369,0.111,0.613,0.379
"Maria Eugenia Vidal","Neutra",0.168,0.182,0.154,0.166,0.18,0.156,0.159,0.18,0.177,0.147,0.177,0.203,0.121,0.151,0.08,0.206,0.29
"Maria Eugenia Vidal","Negativa",0.431,0.443,0.418,0.504,0.481,0.392,0.317,0.4,0.424,0.463,0.42,0.335,0.541,0.464,0.789,0.171,0.27
"Maria Eugenia Vidal","No sabe",0.02,0.019,0.022,0.022,0.009,0.021,0.043,0.033,0.023,0.007,0.016,0.042,0.016,0.016,0.02,0.01,0.061
"Mauricio Macri","Positiva",0.366,0.338,0.392,0.308,0.331,0.384,0.461,0.381,0.357,0.364,0.355,0.399,0.343,0.364,0.18,0.582,0.215
"Mauricio Macri","Neutra",0.144,0.156,0.133,0.2,0.137,0.134,0.126,0.14,0.155,0.134,0.137,0.179,0.104,0.141,0.058,0.186,0.197
"Mauricio Macri","Negativa",0.482,0.5,0.464,0.483,0.526,0.475,0.399,0.466,0.478,0.499,0.502,0.421,0.54,0.482,0.752,0.232,0.583
"Mauricio Macri","No sabe",0.008,0.006,0.011,0.009,0.006,0.007,0.014,0.013,0.01,0.003,0.006,0.001,0.013,0.013,0.01,0,0.005
"Horacio Rodriguez Larreta","Positiva",0.35,0.306,0.394,0.22,0.298,0.394,0.508,0.363,0.337,0.354,0.364,0.334,0.323,0.348,0.102,0.569,0.29
"Horacio Rodriguez Larreta","Neutra",0.208,0.199,0.217,0.209,0.224,0.212,0.169,0.219,0.223,0.182,0.194,0.269,0.173,0.2,0.152,0.243,0.362
"Horacio Rodriguez Larreta","Negativa",0.417,0.477,0.357,0.536,0.456,0.375,0.29,0.376,0.41,0.459,0.424,0.34,0.484,0.432,0.708,0.18,0.319
"Horacio Rodriguez Larreta","No sabe",0.025,0.018,0.032,0.035,0.022,0.019,0.033,0.042,0.03,0.005,0.018,0.057,0.02,0.02,0.038,0.008,0.029
"Javier Milei","Positiva",0.347,0.405,0.292,0.488,0.348,0.313,0.276,0.341,0.371,0.325,0.348,0.445,0.35,0.307,0.14,0.456,0.336
"Javier Milei","Neutra",0.227,0.198,0.255,0.207,0.19,0.252,0.287,0.248,0.226,0.21,0.22,0.235,0.18,0.236,0.104,0.302,0.329
"Javier Milei","Negativa",0.398,0.37,0.425,0.265,0.443,0.415,0.391,0.365,0.374,0.455,0.409,0.269,0.436,0.436,0.72,0.226,0.286
"Javier Milei","No sabe",0.028,0.027,0.028,0.04,0.019,0.02,0.046,0.046,0.029,0.01,0.023,0.051,0.034,0.021,0.036,0.016,0.049
"CFK","Positiva",0.296,0.278,0.313,0.256,0.331,0.276,0.283,0.333,0.273,0.291,0.282,0.25,0.41,0.312,0.705,0.059,0.102
"CFK","Neutra",0.062,0.058,0.066,0.084,0.065,0.064,0.033,0.082,0.051,0.057,0.057,0.066,0.036,0.068,0.101,0.022,0.107
