"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Mauricio Macri por Juntos por el Cambio",0.129,0.122,0.135,0.084,0.112,0.148,0.197,0.127,0.131,0.128,0.138,0.111,0.12,0.13,0.035,0.266,0.073
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.064,0.099,0.057,0.077,0.096,0.105,0.076,0.079,0.092,0.084,0.073,0.046,0.09,0.031,0.126,0.148
"Patricia Bullrich por Juntos por el Cambio",0.151,0.153,0.15,0.103,0.128,0.194,0.207,0.141,0.139,0.18,0.171,0.123,0.118,0.152,0.05,0.276,0.149
"Facundo Manes por Juntos por el Cambio",0.041,0.043,0.039,0.035,0.037,0.046,0.05,0.025,0.047,0.049,0.036,0.034,0.035,0.049,0.018,0.049,0.135
"Alberto Fernández por el Frente de Todos",0.078,0.052,0.103,0.144,0.075,0.043,0.048,0.146,0.06,0.03,0.06,0.145,0.07,0.064,0.16,0.017,0.081
"Cristina Fernández de Kirchner por el Frente de Todos",0.23,0.219,0.241,0.167,0.252,0.247,0.231,0.233,0.217,0.244,0.202,0.169,0.276,0.274,0.526,0.045,0.026
"Javier Milei por los liberales libertarios",0.153,0.221,0.085,0.264,0.17,0.098,0.049,0.135,0.183,0.13,0.158,0.206,0.187,0.119,0.057,0.158,0.148
"Nicolás del Caño por la izquierda",0.013,0.015,0.012,0.015,0.019,0.008,0.007,0.007,0.016,0.016,0.013,0.007,0.016,0.016,0.008,0.003,0.021
"Otros candidatos",0.043,0.039,0.048,0.04,0.058,0.04,0.02,0.035,0.041,0.056,0.044,0.049,0.053,0.039,0.05,0.02,0.098
"Aún no lo tengo decidido",0.08,0.072,0.088,0.091,0.072,0.08,0.086,0.075,0.087,0.075,0.094,0.083,0.079,0.067,0.065,0.04,0.121
