"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Axel Kicillof a gobernador por Unión por la Patria.",0.238,0.263,0.213,0.151,0.303,0.212,0.204,0.148,0.26,0.298,0.223,0.582,0,0.05,0.091,0.327,0.112,0.212
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.386,0.313,0.459,0.312,0.258,0.553,0.502,0.359,0.394,0.404,0.392,0.203,0.788,0.409,0.455,0.339,0.547,0.36
"Carolina Piparo a gobernadora por la Libertad Avanza",0.282,0.376,0.189,0.384,0.346,0.175,0.201,0.365,0.25,0.242,0.265,0.215,0.212,0.441,0.433,0.204,0.26,0.363
"El candidato a gobernador de la Izquierda",0.059,0.031,0.086,0.061,0.058,0.045,0.081,0.117,0.029,0.038,0.057,0,0,0.1,0.012,0.093,0.072,0.021
"En blanco",0.035,0.017,0.053,0.092,0.035,0.015,0.012,0.011,0.067,0.018,0.063,0,0,0,0.009,0.037,0.009,0.044
