"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Sergio Massa a presidente por Unión por la Patria.",0.344,0.328,0.361,0.238,0.37,0.337,0.406,0.309,0.364,0.355,0.454,0.678,0.09,0.037,0.015,0.383,0.326,0.319
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.298,0.265,0.331,0.178,0.248,0.396,0.394,0.27,0.294,0.332,0.247,0.224,0.807,0.687,0.072,0.266,0.28,0.334
"Javier Milei a presidente por la Libertad Avanza",0.272,0.352,0.191,0.493,0.295,0.172,0.138,0.304,0.279,0.23,0.194,0.096,0.099,0.255,0.858,0.247,0.281,0.289
"Myriam Bregman a presidenta por el Frente de Izquierda",0.018,0.015,0.021,0,0.028,0.021,0.011,0.021,0.013,0.022,0.018,0.002,0,0,0.053,0.01,0.048,0.013
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.016,0.014,0.039,0.013,0.008,0.003,0.009,0.018,0.016,0.019,0,0,0.005,0.002,0.023,0.013,0.008
"En blanco",0.011,0.001,0.021,0,0.007,0.022,0.015,0.023,0.008,0.003,0.017,0,0,0.003,0,0.013,0.018,0.006
"No sabe",0.042,0.023,0.061,0.052,0.039,0.044,0.033,0.064,0.024,0.042,0.051,0,0.004,0.013,0,0.058,0.034,0.031
