"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Julio Zamora a intendente por Unión por la Patria.",0.487,0.465,0.509,0.443,0.49,0.554,0.411,0.43,0.552,0.464,0.654,0.445,0.049,0.077,0.313,0.571,0.454,0.426
"Segundo Cernadas a intendente por Juntos por el Cambio",0.342,0.355,0.329,0.368,0.333,0.313,0.387,0.364,0.284,0.391,0.23,0.343,0.747,0.742,0.262,0.305,0.343,0.375
"Claudio Baumgarten a intendente por la Libertad Avanza",0.094,0.09,0.098,0.124,0.088,0.088,0.09,0.129,0.09,0.063,0.071,0.109,0.155,0.048,0.405,0.068,0.087,0.119
"Paula Akerfeld a intendenta por el Frente de Izquierda",0.047,0.058,0.036,0,0.058,0.025,0.104,0.072,0.031,0.043,0.021,0.092,0,0.133,0.011,0.053,0.112,0.016
"En blanco",0.03,0.032,0.028,0.065,0.031,0.02,0.008,0.005,0.043,0.039,0.024,0.011,0.049,0,0.009,0.003,0.004,0.064
