"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.542,0.478,0.315,0.208
"P05","Bastante",0.303,0.28,0.236,0.095
"P05","Poco",0.125,0.186,0.267,0.295
"P05","Nada",0.026,0.041,0.169,0.209
"P05","No sabe",0.004,0.015,0.013,0.193
"P06","Siempre",0.198,0.213,0.181,0.206
"P06","Casi siempre",0.357,0.278,0.304,0.153
"P06","Casi nunca",0.313,0.426,0.392,0.288
"P06","Nunca, pero esta es una excepción",0.132,0.083,0.123,0.353
"P10","Unión por la Patria",0.408,0.302,0.133,0.259
"P10","Juntos por el Cambio",0.27,0.305,0.266,0.043
"P10","De los Liberales libertarios",0.228,0.253,0.342,0.034
"P10","De la Izquierda",0.038,0.02,0.062,0.017
"P10","Hacemos por nuestro país",0.011,0.001,0.015,0.289
"P10","En blanco",0.017,0.008,0.028,0.06
"P10","No sabe",0.028,0.111,0.154,0.298
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.412,0.207,0.285,0.484
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.269,0.422,0.194,0.033
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.251,0.234,0.357,0.037
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.018,0.038,0.016,0.008
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.017,0.048,0.015,0.18
"P13","En blanco",0.016,0.018,0.009,0.088
"P13","No sabe",0.017,0.033,0.124,0.17
"P16","Si",0.397,0.493,0.74,0.703
"P16","No",0.603,0.507,0.26,0.297
"P17","Sergio Massa a presidente por Unión por la Patria.",0.281,0.115,0.286,0.298
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.362,0.412,0.232,0
"P17","Javier Milei a presidente por la Libertad Avanza",0.313,0.36,0.292,0.271
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.02,0.012,0.034,0.147
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.057,0.026,0.038
"P17","En blanco",0.014,0,0,0
"P17","No sabe",0.001,0.044,0.13,0.246
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.246,0.206,0.108,0.054
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.392,0.286,0.307,0.207
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.281,0.317,0.24,0.027
"P20","El candidato a gobernador de la Izquierda",0.036,0.051,0.027,0.207
"P20","En blanco",0.01,0.11,0.01,0.013
"P20","No sabe",0.035,0.03,0.308,0.492
"P23","Julio Zamora a intendente por Unión por la Patria.",0.456,0.52,0.456,0.259
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.384,0.281,0.296,0.106
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.098,0.079,0.16,0
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.048,0.008,0.02,0.207
"P23","En blanco",0.004,0.069,0.006,0.17
"P23","No sabe",0.01,0.043,0.062,0.258
"P27","Tiene Decidido que va a ir a votar.",0.976,0.799,0.629,0.76
"P27","Tiene dudas sobre si va a ir a  votar",0.014,0.197,0.27,0.221
"P27","Tiene Decidido que no va a ir a votar",0.01,0.004,0.101,0.019
"P28","Si",0.473,0.437,0.199,0.347
"P28","No",0.527,0.563,0.801,0.653
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.414,0.194,0.414,0.376
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.289,0.46,0.213,0.014
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.265,0.271,0.224,0.202
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.015,0.007,0.021,0.138
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.03,0.015,0.024
"PRESIDENTE","En blanco",0.011,0.002,0,0
"PRESIDENTE","No sabe",0.001,0.036,0.113,0.246
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.399,0.237,0.277,0.205
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.3,0.416,0.264,0.189
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.256,0.232,0.189,0.027
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.019,0.031,0.017,0.151
