"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.256,0.348,0.216,0.266,0.184
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.272,0.216,0.271,0.281,0
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.023,0.013,0.019,0.231,0.039
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.027,0.007,0.045,0.113
"P13_imputada","En blanco",0.015,0.017,0.003,0.033,0.112
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.288,0.195,0.3,0.027,0.131
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.295,0.389,0.203,0.346,0.533
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.366,0.322,0.437,0.579,0
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.007,0.043,0.047,0,0.336
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.03,0.008,0,0
"P17_imputada","En blanco",0.007,0.021,0.005,0.048,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.297,0.251,0.266,0,0.25
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.306,0.42,0.315,0.622,0.529
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.327,0.282,0.289,0.206,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.036,0.016,0.082,0.172,0
"P20_imputada","En blanco",0.034,0.031,0.048,0,0.221
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.508,0.447,0.674,0.528,0.543
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.336,0.398,0.231,0.286,0.041
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.094,0.116,0.058,0.163,0.199
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.043,0.02,0.018,0.023,0
"P23_imputada","En blanco",0.019,0.019,0.019,0,0.217
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.411,0.348,0.404,0.065,0.424
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.261,0.36,0.236,0.368,0.284
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.294,0.226,0.327,0.509,0
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.016,0.022,0.026,0.013,0.18
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.029,0.004,0,0
"PRESIDENTE_imputada","En blanco",0.003,0.015,0.003,0.045,0.112
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.418,0.37,0.385,0.054,0.49
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.265,0.375,0.291,0.55,0.282
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.277,0.208,0.252,0.252,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.026,0.009,0.046,0.144,0
"GOBERNADOR_imputada","En blanco",0.014,0.038,0.026,0,0.228
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.487,0.457,0.611,0.421,0.659
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.273,0.361,0.257,0.309,0.046
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.202,0.141,0.111,0.234,0.073
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.028,0.01,0.012,0.036,0
"INTENDENTE_imputada","En blanco",0.01,0.031,0.009,0,0.222
