"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Siempre",0.175,0.194,0.157,0.177,0.168,0.166,0.206,0.236,0.165,0.119,0.207,0.187,0.333,0.196,0.101,0.16,0.181,0.187
"Casi siempre",0.293,0.298,0.288,0.192,0.257,0.388,0.396,0.238,0.295,0.354,0.313,0.319,0.303,0.361,0.284,0.319,0.255,0.283
"Casi nunca",0.382,0.36,0.404,0.465,0.402,0.334,0.28,0.358,0.395,0.391,0.369,0.394,0.235,0.345,0.36,0.37,0.424,0.376
"Nunca, pero esta es una excepción",0.15,0.148,0.151,0.166,0.173,0.112,0.118,0.168,0.145,0.136,0.111,0.1,0.129,0.098,0.255,0.151,0.14,0.154
