"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Axel Kicillof a gobernador por Unión por la Patria.",0.339,0.318,0.36,0.251,0.37,0.332,0.363,0.27,0.366,0.371,0.443,0.673,0.006,0.028,0.032,0.394,0.311,0.303
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.311,0.285,0.338,0.175,0.261,0.424,0.385,0.267,0.332,0.328,0.268,0.21,0.846,0.611,0.142,0.253,0.365,0.338
"Carolina Piparo a gobernadora por la Libertad Avanza",0.245,0.338,0.151,0.447,0.254,0.162,0.157,0.287,0.22,0.237,0.18,0.117,0.144,0.253,0.76,0.214,0.21,0.287
"El candidato a gobernador de la Izquierda",0.027,0.013,0.041,0.034,0.029,0.02,0.025,0.044,0.019,0.02,0.02,0,0,0.05,0.014,0.038,0.038,0.013
"En blanco",0.023,0.014,0.033,0.034,0.036,0.01,0.004,0.017,0.039,0.009,0.035,0,0,0.002,0.002,0.025,0.029,0.02
"No sabe",0.055,0.032,0.077,0.059,0.05,0.052,0.066,0.115,0.024,0.035,0.054,0,0.004,0.056,0.05,0.076,0.047,0.039
