"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Si",0.255,0.21,0.299,0.293,0.246,0.226,0.281,0.317,0.241,0.21,0.297,0.142,0.116,0.277,0.224,0.275,0.282,0.225
"No",0.745,0.79,0.701,0.707,0.754,0.774,0.719,0.683,0.759,0.79,0.703,0.858,0.884,0.723,0.776,0.725,0.718,0.775
