"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.368,0.333,0.403,0.304,0.4,0.36,0.37,0.322,0.386,0.391,0.5,0.674,0.02,0.019,0.053,0.398,0.386,0.334
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.297,0.26,0.335,0.175,0.225,0.414,0.417,0.275,0.294,0.323,0.234,0.198,0.826,0.733,0.065,0.3,0.253,0.313
"Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.25,0.341,0.16,0.41,0.284,0.158,0.145,0.275,0.251,0.225,0.185,0.093,0.15,0.182,0.802,0.203,0.276,0.281
"Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.029,0.011,0.045,0.032,0.027,0.019,0.043,0.056,0.016,0.018,0.024,0.002,0,0.012,0.028,0.047,0.022,0.015
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.03,0.037,0.024,0.061,0.039,0.005,0.019,0.047,0.02,0.027,0.019,0.027,0,0.054,0.052,0.013,0.044,0.041
"En blanco",0.026,0.018,0.033,0.018,0.025,0.044,0.006,0.025,0.033,0.016,0.038,0.006,0.004,0,0,0.039,0.019,0.016
