"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Julio Zamora a intendente por Unión por la Patria.",0.458,0.438,0.478,0.443,0.452,0.519,0.383,0.368,0.544,0.442,0.625,0.383,0.033,0.077,0.313,0.535,0.434,0.4
"Segundo Cernadas a intendente por Juntos por el Cambio",0.331,0.335,0.328,0.351,0.329,0.306,0.36,0.36,0.27,0.377,0.224,0.343,0.747,0.726,0.252,0.304,0.332,0.354
"Claudio Baumgarten a intendente por la Libertad Avanza",0.094,0.089,0.098,0.124,0.088,0.088,0.089,0.129,0.09,0.063,0.071,0.109,0.155,0.048,0.405,0.068,0.087,0.119
"Paula Akerfeld a intendenta por el Frente de Izquierda",0.047,0.058,0.036,0,0.058,0.025,0.104,0.072,0.031,0.043,0.022,0.092,0,0.133,0.011,0.053,0.112,0.016
"En blanco",0.03,0.032,0.028,0.065,0.032,0.02,0.008,0.005,0.043,0.039,0.024,0.011,0.049,0,0.009,0.003,0.004,0.064
"No sabe",0.04,0.048,0.032,0.017,0.041,0.042,0.056,0.066,0.022,0.036,0.034,0.062,0.016,0.016,0.01,0.037,0.031,0.047
