"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P27","Tiene Decidido que no va a ir a votar",0.014,0.015,0.002,0.062,0,0.086,0.024
"P28","Si",0.53,0.439,0.347,0.493,0.452,0.214,0.345
"P28","No",0.47,0.561,0.653,0.507,0.548,0.786,0.655
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.805,0.058,0.075,0.177,0.105,0.289,0.225
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.103,0.879,0.103,0.106,0.009,0.052,0.118
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.058,0.055,0.81,0.397,0.533,0.053,0.206
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.009,0.001,0,0.249,0.248,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.017,0.003,0.012,0.042,0.105,0.014,0.01
"PRESIDENTE","En blanco",0,0.002,0,0.009,0,0.482,0
"PRESIDENTE","No sabe",0.008,0.002,0,0.02,0,0.11,0.441
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.757,0.071,0.062,0.205,0.022,0.3,0.342
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.103,0.785,0.202,0.133,0.262,0.139,0.119
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.088,0.093,0.692,0.381,0.28,0.063,0.077
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.008,0.004,0,0.211,0.364,0,0.088
"GOBERNADOR","En blanco",0.019,0.022,0.013,0.049,0,0.318,0
"GOBERNADOR","No sabe",0.025,0.025,0.031,0.021,0.072,0.18,0.374
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.782,0.194,0.189,0.461,0.274,0.59,0.666
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.099,0.721,0.287,0.121,0,0.034,0.096
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0.044,0.499,0.16,0.29,0,0.048
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.017,0.012,0.002,0.198,0.365,0,0
"INTENDENTE","En blanco",0.002,0.02,0.018,0.04,0,0.201,0.075
"INTENDENTE","No sabe",0.03,0.009,0.005,0.02,0.071,0.175,0.115
"CORTA_PRESIDENTE","Si",0.123,0.136,0.196,0.479,0.547,0.384,0.294
"CORTA_PRESIDENTE","No",0.877,0.864,0.804,0.521,0.453,0.616,0.706
"CORTA_GOBERNADOR","Si",0.168,0.181,0.325,0.447,0.653,0.512,0.396
"CORTA_GOBERNADOR","No",0.832,0.819,0.675,0.553,0.347,0.488,0.604
"CORTA_INTENDENTE","Si",0.176,0.292,0.424,0.46,0.44,0.518,0.651
"CORTA_INTENDENTE","No",0.824,0.708,0.576,0.54,0.56,0.482,0.349
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.807,0.076,0.048,0.137,0.224,0.447,0.437
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.812,0.122,0.14,0,0.242,0.17
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.074,0.067,0.765,0.182,0.29,0.053,0.157
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.003,0.001,0,0.34,0.061,0,0.168
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.02,0.028,0.201,0.425,0.014,0
"P13_imputada","En blanco",0,0.024,0.037,0,0,0.244,0.068
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.703,0.028,0.13,0.179,0.177,0.27,0.069
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.126,0.873,0.09,0.118,0.016,0.109,0.324
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.088,0.089,0.778,0.424,0.357,0.12,0.51
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.03,0.002,0,0.264,0.245,0,0.017
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.053,0.005,0.002,0,0.205,0,0.016
"P17_imputada","En blanco",0,0.003,0,0.015,0,0.501,0.064
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.592,0.054,0.107,0.239,0.095,0.272,0.297
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.134,0.726,0.308,0.165,0.347,0.314,0.367
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.177,0.17,0.582,0.395,0,0.169,0.123
"P20_imputada","El candidato a gobernador de la Izquierda",0.034,0.006,0,0.185,0.487,0.045,0.213
"P20_imputada","En blanco",0.063,0.044,0.003,0.016,0.071,0.2,0
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.68,0.319,0.379,0.646,0.42,0.925,0.646
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.116,0.553,0.479,0.148,0.079,0.075,0.163
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.132,0.073,0.126,0.03,0,0,0.06
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.064,0.014,0.005,0.176,0.501,0,0
"P23_imputada","En blanco",0.008,0.041,0.011,0,0,0,0.131
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.807,0.057,0.075,0.177,0.105,0.387,0.238
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.881,0.103,0.115,0.009,0.052,0.282
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.058,0.055,0.81,0.397,0.533,0.053,0.416
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.009,0.002,0,0.26,0.248,0,0.015
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.017,0.003,0.012,0.042,0.105,0.013,0.01
"PRESIDENTE_imputada","En blanco",0,0.002,0,0.009,0,0.495,0.039
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.776,0.071,0.062,0.205,0.059,0.427,0.422
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.109,0.81,0.228,0.143,0.262,0.159,0.294
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.088,0.093,0.698,0.381,0.28,0.064,0.091
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.008,0.004,0,0.222,0.364,0.015,0.193
"GOBERNADOR_imputada","En blanco",0.019,0.022,0.012,0.049,0.035,0.335,0
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.808,0.195,0.189,0.461,0.308,0.749,0.723
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.103,0.729,0.292,0.13,0.037,0.034,0.139
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0.044,0.499,0.16,0.29,0,0.058
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.017,0.012,0.002,0.209,0.365,0,0.005
"INTENDENTE_imputada","En blanco",0.002,0.02,0.018,0.04,0,0.217,0.075
