"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Julio Zamora a intendente por Unión por la Patria.",0.452,0.407,0.5,0.412,0.451,0.492,0.433,0.42,0.492,0.435,0.673,0.611,0.014,0.038,0.112,0.509,0.472,0.398
"Segundo Cernadas a intendente por Juntos por el Cambio",0.303,0.297,0.308,0.212,0.31,0.317,0.359,0.312,0.277,0.325,0.197,0.251,0.83,0.779,0.111,0.253,0.278,0.353
"Claudio Baumgarten a intendente por la Libertad Avanza",0.171,0.221,0.118,0.35,0.15,0.116,0.122,0.169,0.166,0.18,0.082,0.086,0.138,0.098,0.76,0.172,0.132,0.186
"Paula Akerfeld a intendenta por el Frente de Izquierda",0.026,0.025,0.027,0,0.028,0.029,0.043,0.039,0.018,0.022,0.013,0.024,0,0.062,0.013,0.024,0.06,0.014
"En blanco",0.02,0.021,0.02,0.021,0.033,0.012,0.003,0.013,0.026,0.02,0.016,0.003,0.014,0.003,0.002,0.009,0.024,0.028
"No sabe",0.028,0.029,0.027,0.005,0.028,0.034,0.04,0.047,0.021,0.018,0.019,0.025,0.004,0.02,0.002,0.033,0.034,0.021
