"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.346,0.33,0.361,0.248,0.385,0.347,0.351,0.307,0.373,0.349,0.466,0.671,0.02,0.019,0.053,0.379,0.368,0.306
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.283,0.249,0.316,0.175,0.219,0.386,0.388,0.256,0.279,0.314,0.217,0.199,0.822,0.717,0.065,0.275,0.242,0.307
"Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.246,0.337,0.156,0.408,0.278,0.156,0.142,0.271,0.25,0.217,0.184,0.093,0.15,0.182,0.802,0.202,0.267,0.277
"Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.02,0.009,0.031,0.032,0.013,0.017,0.031,0.032,0.013,0.018,0.011,0.002,0,0.012,0.024,0.029,0.022,0.012
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.03,0.037,0.024,0.061,0.039,0.004,0.019,0.047,0.02,0.027,0.019,0.027,0,0.054,0.052,0.012,0.043,0.041
"En blanco",0.025,0.018,0.033,0.017,0.024,0.044,0.006,0.025,0.033,0.015,0.038,0.006,0.004,0,0,0.039,0.018,0.016
"No sabe",0.05,0.02,0.079,0.059,0.042,0.046,0.063,0.062,0.032,0.06,0.065,0.002,0.004,0.016,0.004,0.064,0.04,0.041
