"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Axel Kicillof a gobernador por Unión por la Patria.",0.354,0.327,0.382,0.271,0.389,0.345,0.37,0.299,0.371,0.386,0.461,0.673,0.006,0.028,0.032,0.411,0.333,0.315
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.339,0.299,0.38,0.209,0.285,0.44,0.433,0.325,0.347,0.342,0.286,0.21,0.85,0.667,0.191,0.295,0.377,0.36
"Carolina Piparo a gobernadora por la Libertad Avanza",0.248,0.343,0.151,0.447,0.26,0.163,0.157,0.292,0.222,0.238,0.184,0.117,0.144,0.253,0.76,0.215,0.218,0.287
"El candidato a gobernador de la Izquierda",0.035,0.016,0.053,0.034,0.029,0.043,0.036,0.067,0.021,0.021,0.032,0,0,0.05,0.014,0.054,0.042,0.016
"En blanco",0.024,0.015,0.034,0.039,0.037,0.009,0.004,0.017,0.039,0.013,0.037,0,0,0.002,0.003,0.025,0.03,0.022
