"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.491,0.382,0.39,0.1,0.581,0.199
"P05","Bastante",0.248,0.376,0.258,0.44,0.357,0.446
"P05","Poco",0.244,0.125,0.223,0.304,0.062,0.072
"P05","Nada",0.009,0.093,0.129,0,0,0.283
"P05","No sabe",0.008,0.024,0,0.156,0,0
"P06","Siempre",0.302,0.19,0.154,0.037,0.472,0.12
"P06","Casi siempre",0.217,0.425,0.283,0.5,0.109,0.282
"P06","Casi nunca",0.41,0.309,0.375,0.21,0.374,0.283
"P06","Nunca, pero esta es una excepción",0.071,0.076,0.188,0.253,0.045,0.315
"P10","Unión por la Patria",0.707,0.089,0.061,0.24,0.548,0
"P10","Juntos por el Cambio",0.032,0.699,0.07,0.016,0.064,0.039
"P10","De los Liberales libertarios",0.143,0.069,0.589,0,0.025,0
"P10","De la Izquierda",0.034,0.016,0.057,0.411,0,0.034
"P10","Hacemos por nuestro país",0.023,0.002,0.032,0.261,0.277,0
"P10","En blanco",0.026,0.007,0.008,0,0,0.545
"P10","No sabe",0.035,0.118,0.183,0.072,0.086,0.382
"P26","Totalmente seguro.",0.682,0.59,0.571,0.413,0.225,0.433
"P26","Bastante seguro",0.114,0.297,0.268,0.172,0.566,0
"P26","Algo seguro",0.129,0.11,0.099,0.121,0.114,0
"P26","Para nada seguro",0.075,0.003,0.062,0.294,0.095,0.567
"P27","Tiene Decidido que va a ir a votar.",0.867,0.899,0.805,1,0.967,1
"P27","Tiene dudas sobre si va a ir a  votar",0.106,0.083,0.161,0,0.033,0
"P27","Tiene Decidido que no va a ir a votar",0.027,0.018,0.034,0,0,0
"P28","Si",0.498,0.402,0.363,0.509,0.629,0.653
"P28","No",0.502,0.598,0.637,0.491,0.371,0.347
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.718,0.066,0.143,0.682,0,0.193
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.047,0.655,0.138,0,0.607,0.332
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.163,0.116,0.573,0.016,0.08,0
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.032,0.048,0.04,0.302,0,0.034
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.057,0.069,0,0.313,0
"P13_imputada","En blanco",0.009,0.058,0.037,0,0,0.441
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.686,0.04,0.103,0.357,0.139,0.559
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.086,0.714,0.275,0.371,0.196,0.301
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.146,0.206,0.522,0.016,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.056,0.007,0.097,0.256,0,0.098
"P20_imputada","En blanco",0.026,0.033,0.003,0,0.665,0.042
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.685,0.346,0.436,0.948,0.79,0.335
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.132,0.516,0.363,0.018,0.183,0.092
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0.083,0.145,0,0,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.105,0.012,0.051,0.034,0,0
"P23_imputada","En blanco",0.008,0.043,0.005,0,0.027,0.573
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0,0,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0,0,1
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.686,0.04,0.103,0.357,0.139,0.559
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.086,0.714,0.275,0.371,0.196,0.301
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.146,0.206,0.522,0.016,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.056,0.007,0.097,0.256,0,0.098
"GOBERNADOR_imputada","En blanco",0.026,0.033,0.003,0,0.665,0.042
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.685,0.346,0.436,0.948,0.79,0.335
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.132,0.516,0.363,0.018,0.183,0.092
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0.083,0.145,0,0,0
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.105,0.012,0.051,0.034,0,0
"INTENDENTE_imputada","En blanco",0.008,0.043,0.005,0,0.027,0.573
