"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.163,0.078,0.254,0.374,0.064,0.087,0.13,0.139,0.218,0.083,0.211,0.2,0.07,0.041,0.034,0.252,0.165,0.194,0
"A Sergio Massa",0.204,0.323,0.075,0.092,0.177,0.259,0.402,0.35,0.107,0.113,0.438,0.178,0.054,0.165,0.2,0.104,0.225,0.136,0
"A algún candidato del peronismo",0.118,0.121,0.115,0.022,0.251,0.087,0.012,0.063,0.205,0.036,0.062,0.074,0,0.364,0.047,0.105,0.068,0.293,0
"A Cristina Fernández de Kirchner",0.515,0.478,0.556,0.512,0.508,0.567,0.456,0.448,0.47,0.768,0.289,0.548,0.876,0.43,0.719,0.539,0.542,0.377,1
