"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Sergio Massa","Muy buena",0.12,0.094,0.147,0.13,0.082,0.121,0.206,0.145,0.102,0.11,0.187,0.155,0.061,0.103,0.115,0.025,0.18,0.067,0.013
"Sergio Massa","Buena",0.16,0.135,0.186,0.164,0.133,0.187,0.181,0.154,0.167,0.156,0.154,0.184,0.148,0.121,0.226,0.114,0.231,0.057,0.121
"Sergio Massa","Ni buena ni mala",0.277,0.245,0.309,0.229,0.318,0.24,0.313,0.304,0.266,0.242,0.17,0.306,0.251,0.311,0.233,0.341,0.295,0.21,0.516
"Sergio Massa","Mala",0.147,0.152,0.142,0.173,0.118,0.181,0.12,0.123,0.169,0.147,0.208,0.071,0.22,0.098,0.104,0.279,0.156,0.12,0.19
"Sergio Massa","Muy mala",0.285,0.371,0.198,0.304,0.339,0.263,0.144,0.264,0.282,0.341,0.27,0.269,0.32,0.367,0.319,0.22,0.123,0.538,0.16
"Sergio Massa","No sabe",0.011,0.003,0.018,0,0.01,0.008,0.036,0.01,0.014,0.004,0.011,0.015,0,0,0.003,0.021,0.015,0.008,0
"Javier Milei","Muy buena",0.158,0.223,0.09,0.193,0.197,0.13,0.033,0.193,0.132,0.144,0.208,0.166,0.152,0.17,0.068,0.132,0.065,0.222,0.068
"Javier Milei","Buena",0.118,0.143,0.092,0.201,0.112,0.056,0.083,0.083,0.155,0.106,0.164,0.073,0.013,0.157,0.223,0.14,0.06,0.163,0.265
"Javier Milei","Ni buena ni mala",0.199,0.177,0.222,0.126,0.209,0.228,0.259,0.188,0.227,0.157,0.183,0.21,0.236,0.201,0.269,0.12,0.123,0.303,0.447
"Javier Milei","Mala",0.14,0.147,0.133,0.094,0.117,0.203,0.184,0.19,0.081,0.17,0.096,0.147,0.093,0.17,0.094,0.208,0.157,0.124,0.085
"Javier Milei","Muy mala",0.319,0.287,0.353,0.325,0.328,0.314,0.293,0.27,0.327,0.408,0.282,0.318,0.435,0.302,0.346,0.283,0.507,0.135,0.135
"Javier Milei","No sabe",0.066,0.023,0.11,0.061,0.037,0.069,0.148,0.076,0.078,0.015,0.067,0.086,0.071,0,0,0.117,0.088,0.053,0
"Horacio Rodriguez Larreta","Muy buena",0.156,0.12,0.193,0.175,0.169,0.117,0.15,0.142,0.158,0.182,0.203,0.143,0.147,0.154,0.19,0.122,0.082,0.282,0.198
