"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.019,0.01,0.027,0.028,0.006,0.024,0.028,0.02,0.003,0.053,0.016,0.019,0.042,0,0.003,0.03,0.027,0.005,0,6
"Buena",0.027,0.01,0.044,0.051,0.008,0.025,0.037,0.016,0.042,0.013,0.054,0.033,0,0.016,0.014,0.014,0.043,0.011,0,6
"Ni buena ni mala",0.383,0.413,0.353,0.341,0.4,0.408,0.371,0.471,0.321,0.348,0.373,0.374,0.358,0.285,0.438,0.501,0.399,0.378,0.419,6
"Mala",0.059,0.071,0.048,0.03,0.079,0.067,0.046,0.042,0.079,0.051,0.055,0.057,0.004,0.155,0.027,0.046,0.044,0.066,0.011,6
"Muy mala",0.101,0.14,0.06,0.18,0.097,0.05,0.056,0.107,0.094,0.102,0.084,0.127,0.072,0.122,0.1,0.056,0.101,0.104,0.185,6
"No sabe",0.411,0.356,0.468,0.37,0.41,0.426,0.462,0.344,0.461,0.433,0.418,0.39,0.524,0.422,0.418,0.353,0.386,0.436,0.385,6
"Positiva",0.046,0.02,0.071,0.079,0.014,0.049,0.065,0.036,0.045,0.066,0.07,0.052,0.042,0.016,0.017,0.044,0.07,0.016,0,4
"Neutra",0.383,0.413,0.353,0.341,0.4,0.408,0.371,0.471,0.321,0.348,0.373,0.374,0.358,0.285,0.438,0.501,0.399,0.378,0.419,4
"Negativa",0.16,0.211,0.108,0.21,0.176,0.117,0.102,0.149,0.173,0.153,0.139,0.184,0.076,0.277,0.127,0.102,0.145,0.17,0.196,4
"No sabe",0.411,0.356,0.468,0.37,0.41,0.426,0.462,0.344,0.461,0.433,0.418,0.39,0.524,0.422,0.418,0.353,0.386,0.436,0.385,4
