"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.385,0.27,0.417,0.191
"P05","Bastante",0.388,0.333,0.339,0.125
"P05","Poco",0.138,0.301,0.189,0.6
"P05","Nada",0.06,0.085,0.049,0.084
"P05","No sabe",0.029,0.011,0.006,0
"P06","Siempre",0.305,0.098,0.224,0.255
"P06","Casi siempre",0.384,0.44,0.425,0.317
"P06","Casi nunca",0.207,0.302,0.256,0.263
"P06","Nunca, pero esta es una excepción",0.104,0.16,0.095,0.165
"P08","Unión por la Patria y el peronismo",0.151,0.328,0.629,0.427
"P08","Juntos por el Cambio",0.57,0.319,0.099,0
"P08","De los Liberales libertarios",0.189,0.162,0.084,0.031
"P08","De la Izquierda",0.008,0.016,0.03,0.08
"P08","No sabe",0.082,0.175,0.158,0.462
"P09","A Sergio Massa",0.57,0.468,0.271,0.426
"P09","A Daniel Scioli",0.158,0.115,0.125,0.031
"P09","A algún candidato del peronismo",0.192,0.042,0.082,0.543
"P09","Wado de Pedro",0.08,0.375,0.522,0
"P10","A Horacio Rodriguez Larreta",0.128,0.275,0.519,0
"P10","A Patricia Bullrich",0.852,0.701,0.322,0
"P10","A Facundo Manes",0.02,0.024,0.105,0
"P10","A Gerardo Morales",0,0,0.054,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.097,0.22,0.24,0.396
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.073,0.13,0.377,0.044
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.508,0.148,0.095,0
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.091,0.196,0.071,0
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.172,0.17,0.09,0.082
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.013,0.036
"P11","En blanco",0,0.027,0.021,0
"P11","No sabe",0.059,0.109,0.093,0.442
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.059,0.394,0.409,0.333
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.046,0.114,0.235,0.065
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.083,0.044,0.06,0.009
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.484,0.076,0.047,0
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.152,0.103,0.076,0.059
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.111,0.146,0.07,0.036
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.016,0,0.013,0.02
"P13","En blanco",0.018,0.049,0.054,0.157
"P13","No sabe",0.031,0.074,0.036,0.321
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.102,0.432,0.513,0.387
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.648,0.123,0.054,0.011
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.168,0.219,0.124,0.04
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.023,0,0.023,0.036
"P14","En blanco",0.026,0.054,0.085,0.17
"P14","No sabe",0.033,0.172,0.201,0.356
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.111,0.395,0.562,0.257
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.524,0.251,0.113,0.011
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.22,0.178,0.101,0.04
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.01,0.019,0.019,0.036
"P15"," En blanco",0.054,0.04,0.09,0.126
"P15","No sabe",0.081,0.117,0.115,0.53
